uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,10.0,8.0,5.0,5.0,9.0,4.0,5.0,1.0,1.0,6.0
u01,6.0,6.0,5.0,8.0,6.0,6.0,6.0,6.0,5.0,3.0
u02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
u03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
u04,12.0,10.0,15.0,9.0,9.0,13.0,11.0,12.0,1.0,0
u05,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
u07,6.0,9.0,4.0,3.0,3.0,5.0,1.0,4.0,0,0
u08,5.0,8.0,4.0,7.0,5.0,3.0,5.0,4.0,2.0,4.0
u09,1.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,0.0
u10,0.0,0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
u12,2.0,5.0,3.0,2.0,3.0,2.0,2.0,5.0,4.0,4.0
u13,0.0,2.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0
u14,1.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0
u15,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
u16,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
u17,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0
u18,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
u19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
u20,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0,0
u22,5.0,6.0,7.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0
u23,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0
u24,3.0,4.0,4.0,5.0,5.0,0,0,0,0,0
u25,3.0,4.0,3.0,3.0,3.0,4.0,16.0,0.0,0.0,0.0
u27,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
u30,4.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0
u31,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0
u32,1.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,5.0
u33,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
u34,2.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
u35,3.0,4.0,7.0,10.0,4.0,2.0,1.0,0.0,1.0,1.0
u36,4.0,5.0,5.0,4.0,12.0,7.0,8.0,6.0,4.0,5.0
u39,0.0,0,0.0,0.0,0.0,0,0,0,0,0
u41,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0
u42,0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0
u43,0,1.0,4.0,6.0,5.0,1.0,3.0,0.0,2.0,1.0
u44,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
u45,0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
u46,0.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,7.0,0
u47,3.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0
u49,0.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,5.0
u50,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
u51,5.0,5.0,7.0,4.0,5.0,4.0,8.0,9.0,5.0,5.0
u52,0,50.0,0,0.0,0,0,0.0,0.0,126.0,0
u53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u54,3.0,3.0,1.0,2.0,1.0,1.0,3.0,0,0,1.0
u56,6.0,7.0,1.0,2.0,2.0,0.0,0,3.0,3.0,1.0
u57,13.0,9.0,9.0,6.0,7.0,7.0,9.0,9.0,9.0,7.0
u58,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,5.0
u59,9.0,10.0,10.0,24.0,26.0,27.0,20.0,22.0,17.0,35.0
