uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,247.0,295.0,307.0,286.0,275.0,220.0,278.0,223.0,192.0,200.0
u01,299.0,307.0,315.0,301.0,300.0,297.0,229.0,311.0,291.0,276.0
u02,291.0,311.0,317.0,317.0,305.0,297.0,300.0,295.0,312.0,261.0
u03,329.0,322.0,341.0,284.0,320.0,339.0,333.0,286.0,237.0,0
u04,280.0,281.0,273.0,284.0,297.0,281.0,299.0,298.0,272.0,0
u05,296.0,311.0,309.0,303.0,319.0,326.0,283.0,265.0,196.0,228.0
u07,295.0,284.0,312.0,303.0,329.0,321.0,281.0,224.0,0,0
u08,307.0,303.0,316.0,309.0,312.0,305.0,305.0,312.0,292.0,214.0
u09,271.0,231.0,304.0,278.0,306.0,315.0,312.0,281.0,270.0,240.0
u10,317.0,329.0,326.0,322.0,325.0,321.0,323.0,324.0,301.0,238.0
u12,305.0,293.0,299.0,325.0,318.0,325.0,314.0,305.0,314.0,238.0
u13,305.0,326.0,294.0,300.0,332.0,257.0,214.0,302.0,256.0,217.0
u14,272.0,293.0,276.0,303.0,283.0,306.0,232.0,228.0,183.0,236.0
u15,273.0,227.0,248.0,175.0,188.0,213.0,178.0,248.0,20.0,89.0
u16,305.0,306.0,271.0,320.0,286.0,310.0,302.0,281.0,333.0,271.0
u17,319.0,323.0,335.0,306.0,322.0,330.0,294.0,333.0,309.0,274.0
u18,315.0,321.0,322.0,321.0,290.0,332.0,266.0,285.0,308.0,207.0
u19,256.0,316.0,317.0,322.0,326.0,326.0,325.0,324.0,330.0,260.0
u20,258.0,327.0,335.0,266.0,331.0,254.0,264.0,276.0,231.0,0
u22,310.0,305.0,313.0,315.0,249.0,113.0,298.0,286.0,280.0,209.0
u23,277.0,336.0,329.0,335.0,326.0,324.0,330.0,339.0,313.0,0
u24,260.0,316.0,320.0,295.0,317.0,0,0,0,0,0
u25,196.0,229.0,167.0,245.0,192.0,155.0,38.0,109.0,60.0,83.0
u27,235.0,326.0,260.0,313.0,298.0,308.0,334.0,325.0,328.0,269.0
u30,229.0,278.0,284.0,303.0,279.0,305.0,301.0,248.0,308.0,260.0
u31,250.0,312.0,296.0,310.0,319.0,309.0,292.0,289.0,249.0,220.0
u32,266.0,318.0,297.0,254.0,277.0,283.0,292.0,256.0,283.0,257.0
u33,255.0,318.0,319.0,318.0,309.0,318.0,310.0,293.0,35.0,47.0
u34,210.0,271.0,262.0,400.0,272.0,245.0,184.0,294.0,193.0,226.0
u35,259.0,323.0,315.0,314.0,320.0,328.0,330.0,331.0,356.0,321.0
u36,242.0,317.0,316.0,280.0,289.0,282.0,309.0,311.0,319.0,262.0
u39,106.0,300.0,245.0,344.0,329.0,0,0,0,0,0
u41,243.0,258.0,328.0,243.0,321.0,314.0,185.0,339.0,146.0,264.0
u42,28.0,280.0,325.0,271.0,264.0,280.0,284.0,305.0,234.0,0
u43,1.0,272.0,292.0,272.0,268.0,298.0,224.0,222.0,259.0,295.0
u44,1.0,298.0,304.0,288.0,328.0,335.0,322.0,336.0,339.0,315.0
u45,1.0,302.0,418.0,381.0,212.0,234.0,272.0,159.0,241.0,596.0
u46,20.0,363.0,286.0,283.0,250.0,267.0,273.0,276.0,318.0,0
u47,322.0,309.0,333.0,398.0,286.0,237.0,92.0,167.0,375.0,318.0
u49,183.0,291.0,303.0,292.0,302.0,253.0,263.0,585.0,554.0,501.0
u50,257.0,334.0,315.0,333.0,234.0,343.0,164.0,295.0,0,71.0
u51,279.0,303.0,313.0,321.0,316.0,306.0,306.0,314.0,298.0,271.0
u52,90.0,91.0,142.0,147.0,126.0,150.0,122.0,128.0,115.0,95.0
u53,307.0,317.0,299.0,282.0,329.0,288.0,298.0,266.0,221.0,332.0
u54,233.0,258.0,300.0,311.0,286.0,264.0,177.0,0,0,268.0
u56,322.0,353.0,321.0,314.0,314.0,280.0,0,274.0,307.0,256.0
u57,270.0,261.0,285.0,293.0,296.0,284.0,283.0,272.0,289.0,250.0
u58,322.0,308.0,302.0,314.0,320.0,267.0,322.0,322.0,329.0,270.0
u59,281.0,316.0,767.0,1328.0,1325.0,1427.0,1077.0,1229.0,1334.0,1119.0
