uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,25.0,17.0,15.0,18.0,17.0,31.0,24.0,17.0,13.0,15.0
u01,14.0,18.0,13.0,17.0,17.0,10.0,13.0,13.0,11.0,5.0
u02,18.0,20.0,16.0,16.0,18.0,15.0,24.0,21.0,16.0,14.0
u03,3.0,7.0,4.0,7.0,9.0,7.0,3.0,3.0,5.0,0
u04,27.0,29.0,30.0,23.0,26.0,18.0,22.0,15.0,20.0,0
u05,13.0,12.0,15.0,14.0,10.0,8.0,9.0,6.0,11.0,8.0
u07,17.0,22.0,11.0,15.0,5.0,12.0,11.0,9.0,0,0
u08,13.0,15.0,14.0,14.0,15.0,19.0,21.0,16.0,13.0,7.0
u09,15.0,20.0,20.0,16.0,16.0,13.0,16.0,15.0,14.0,14.0
u10,11.0,11.0,11.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0
u12,8.0,9.0,8.0,5.0,6.0,6.0,11.0,13.0,10.0,10.0
u13,1.0,6.0,7.0,6.0,11.0,2.0,12.0,10.0,10.0,4.0
u14,47.0,37.0,29.0,29.0,29.0,26.0,21.0,18.0,4.0,3.0
u15,9.0,8.0,7.0,8.0,7.0,12.0,6.0,10.0,1.0,3.0
u16,15.0,13.0,13.0,16.0,7.0,14.0,19.0,7.0,10.0,6.0
u17,9.0,15.0,9.0,11.0,12.0,7.0,9.0,7.0,9.0,10.0
u18,10.0,10.0,12.0,13.0,10.0,7.0,5.0,5.0,4.0,2.0
u19,19.0,13.0,14.0,11.0,9.0,9.0,11.0,13.0,9.0,7.0
u20,14.0,14.0,6.0,0,9.0,8.0,5.0,4.0,1.0,0
u22,11.0,11.0,13.0,11.0,7.0,2.0,6.0,11.0,7.0,4.0
u23,7.0,9.0,6.0,4.0,9.0,7.0,6.0,2.0,1.0,0
u24,18.0,13.0,14.0,11.0,16.0,0,0,0,0,0
u25,11.0,18.0,14.0,14.0,12.0,4.0,7.0,10.0,4.0,1.0
u27,8.0,8.0,8.0,10.0,8.0,10.0,6.0,6.0,4.0,7.0
u30,24.0,23.0,22.0,21.0,18.0,15.0,20.0,11.0,13.0,10.0
u31,10.0,11.0,14.0,11.0,10.0,9.0,18.0,8.0,11.0,11.0
u32,16.0,11.0,16.0,18.0,26.0,17.0,15.0,26.0,24.0,17.0
u33,14.0,14.0,11.0,13.0,18.0,14.0,18.0,6.0,5.0,0.0
u34,13.0,18.0,8.0,16.0,3.0,12.0,5.0,7.0,5.0,10.0
u35,4.0,8.0,10.0,16.0,10.0,8.0,7.0,4.0,3.0,7.0
u36,17.0,9.0,10.0,19.0,15.0,14.0,13.0,6.0,10.0,9.0
u39,0.0,2.0,2.0,3.0,2.0,0,0,0,0,0
u41,8.0,7.0,8.0,8.0,10.0,10.0,5.0,17.0,5.0,3.0
u42,0,12.0,7.0,11.0,4.0,7.0,3.0,6.0,5.0,0
u43,0,20.0,14.0,18.0,15.0,15.0,7.0,8.0,12.0,12.0
u44,0,6.0,6.0,6.0,9.0,5.0,3.0,4.0,3.0,2.0
u45,0,12.0,12.0,7.0,4.0,5.0,7.0,4.0,5.0,7.0
u46,9.0,30.0,26.0,29.0,25.0,26.0,31.0,29.0,32.0,0
u47,8.0,5.0,5.0,6.0,3.0,5.0,0.0,6.0,24.0,29.0
u49,11.0,14.0,15.0,12.0,12.0,12.0,15.0,27.0,18.0,21.0
u50,9.0,7.0,5.0,5.0,3.0,0,8.0,11.0,0,1.0
u51,19.0,20.0,16.0,13.0,17.0,18.0,17.0,12.0,20.0,10.0
u52,17.0,14.0,13.0,10.0,12.0,18.0,15.0,19.0,14.0,12.0
u53,11.0,7.0,9.0,5.0,8.0,8.0,6.0,3.0,3.0,8.0
u54,35.0,22.0,14.0,11.0,10.0,11.0,15.0,0,0,8.0
u56,19.0,10.0,11.0,13.0,16.0,11.0,0,9.0,9.0,11.0
u57,18.0,17.0,15.0,17.0,15.0,16.0,20.0,24.0,22.0,19.0
u58,6.0,13.0,11.0,12.0,10.0,8.0,12.0,11.0,8.0,13.0
u59,24.0,25.0,93.0,136.0,116.0,109.0,66.0,117.0,88.0,84.0
