uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,69095|88347|48560,126639|105111|65787,136097|99965|54093,121830|114094|62040,126363|102604|55620,91261|85911|84177,103895|103642|94121,97251|95789|45198,66899|48407|41336,77450|94231|43745
u01,89151|68691|46889,131948|128186|73289,137388|132927|77503,131673|112657|78332,111940|115532|95299,115569|32836|26423,72741|107988|71531,123934|124900|82192,134051|44072|22934,52282|42110|23514
u02,97235|46157|31568,139153|67316|48475,135161|96580|51702,130266|104877|71990,139900|76852|33722,134296|84870|39674,139184|40384|40133,132816|59040|41854,142588|50513|32702,96367|88899|50120
u03,106351|18532|5508,147031|28371|10522,155103|20163|7204,132995|17671|8945,148994|24591|11435,156978|13374|7026,153070|12718|3081,75089|7480|3191,31054|3078|1491,0|0|0
u04,72760|64259|66614,106375|89905|107752,100705|97341|103546,106114|85546|111916,117350|88862|89129,112433|78333|95843,113430|108827|101771,115091|96331|97011,65129|36331|28027,0|0|0
u05,87956|62062|52391,130674|85446|64338,140958|63086|44044,129962|57522|44872,145748|66823|39769,137672|66183|49901,120298|55437|36659,114079|42520|29594,85209|41523|29973,47899|46687|14477
u07,89717|50494|49067,108851|113839|130327,142377|73811|57270,137484|73898|53164,156348|6735|4852,144227|41516|28342,127715|21105|20386,44953|17472|9606,0|0|0,0|0|0
u08,96938|45053|28504,131730|102919|64233,145806|79927|44419,138495|86866|54767,144406|86682|46079,135513|103723|63921,135979|91570|63838,141786|77713|47976,131558|101059|60859,57194|56640|26459
u09,88469|54909|30777,107161|112432|52971,144236|139195|49420,129108|125826|53469,138324|79757|39097,147764|120123|46411,138479|96005|53245,119971|107663|54706,117879|126548|58013,85756|52965|22219
u10,99389|43367|28839,142936|67111|51774,141535|55582|40198,138749|69887|43883,138680|68103|43555,138830|56443|38931,140327|64665|39982,132442|55383|44974,128857|98594|52570,89714|62887|35608
u12,101201|68097|25927,129987|97267|57073,134199|73235|40778,151520|65494|25436,145179|59090|27195,146322|74667|26002,133252|77316|36746,141016|97457|49523,144072|97817|43376,89301|58505|33704
u13,58280|16144|5580,152811|47823|26478,139403|54444|25033,140100|47479|30095,162093|65085|36326,122902|38889|18723,58982|29245|20482,143180|62139|37705,120709|58947|33289,56444|23220|15521
u14,74111|71791|78302,110789|119771|106137,102838|113257|86265,120924|104323|78370,113090|107502|93298,123888|128036|88086,89993|80941|69502,74588|61299|50044,73941|45745|30069,42770|52426|35027
u15,91729|71521|43434,102562|64021|54843,114747|67510|37604,78074|44511|35955,51732|38219|18160,41079|46697|20105,49616|31541|11717,66092|29623|13085,3083|1925|1104,29638|17132|7281
u16,103903|66479|32275,144468|83506|46064,129582|66028|29629,150180|77642|41765,140260|67692|28297,149128|56938|27335,142517|58362|35036,132106|36129|15354,152627|34264|17450,56268|14996|3177
u17,100654|45155|11903,137875|75487|35624,139962|50901|25231,126619|75309|36925,138569|71351|31157,134552|54534|33376,106046|49698|24949,145760|41626|21054,136033|61760|26997,100793|45616|23283
u18,102153|47848|27658,120866|77899|40081,150001|36255|18538,150064|52618|23086,133547|89098|35287,151713|11318|8980,46568|26455|15805,108834|53124|18134,136999|68785|25096,40678|25228|6741
u19,64362|49099|30009,168420|94579|51426,134333|116774|48161,145430|63480|30297,145035|54425|26244,156160|12592|2923,150455|39626|16902,146871|39656|18729,147778|82711|38484,108218|73820|28902
u20,56015|27414|27901,142653|50024|35140,135419|69779|47277,52174|9026|2853,148944|39057|21962,83825|19699|10084,87734|20380|23730,124979|31497|11211,42879|7972|3726,0|0|0
u22,99383|49872|32258,130461|68417|52037,156669|3|415,138606|51744|35669,96836|11802|14728,29080|5656|4349,122415|30151|37013,110361|46298|44278,79399|24438|48268,59347|46570|59095
u23,85898|26522|20836,138141|55492|43748,133440|49155|38461,146492|42120|27414,135355|62772|42621,140426|41642|31235,129995|43888|43390,135189|21784|28023,76331|12720|9372,0|0|0
u24,78811|76214|46328,140425|112798|46628,134120|109008|59860,127397|96264|45948,119754|72217|31925,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
u25,66104|72715|32108,110503|101351|53171,76657|104879|40965,114568|97412|41190,91161|94338|34344,64512|57627|40406,2254|6738|9195,20749|21415|8158,14274|13753|3125,17500|13925|2668
u27,70320|50903|36741,148448|75299|34612,114614|64771|33659,151857|27771|15320,132820|55891|33485,136159|56963|37246,145688|63909|40800,142594|54085|38122,143147|55185|35175,105820|51442|30120
u30,69747|72985|67424,112913|113695|97398,112844|117777|115057,121967|114892|88409,106406|130012|99393,122919|98546|81137,123933|83674|85582,74227|33539|38115,112769|123243|100477,94171|91671|57177
u31,81604|53186|42454,139914|84454|51299,143440|98366|53116,158543|113404|38639,150888|80893|33023,149096|56950|33758,140595|62464|35056,134528|64612|34197,120907|63369|34278,77004|55052|20218
u32,78012|87465|61608,144693|114151|59783,115524|107259|62609,79856|51443|39699,121415|116093|81012,124934|14025|4010,127901|87757|70095,130936|42998|34851,116183|118556|104890,92054|71404|42929
u33,81181|27159|16688,133668|66506|45876,130712|74299|47770,133069|76535|46816,122783|104296|66353,131164|74677|51118,107514|102869|85864,100965|36270|25406,2986|6528|2608,5284|1195|3592
u34,54701|42384|29290,127471|107828|55972,97114|60865|33139,84852|39024|34812,94000|39551|14311,31646|19464|14966,84545|31867|20621,62563|31698|18951,36826|13470|9244,35313|18804|17293
u35,86156|27061|11946,150574|76001|33618,139431|63334|39698,136466|28841|35109,147491|44160|28724,152020|36474|22468,150407|46797|27320,145819|29932|22888,151200|32695|9835,90703|39287|28158
u36,80976|42701|19914,148505|36653|27067,148799|42646|28422,132840|57666|38215,119353|56527|73830,131411|50020|39449,140781|39342|34920,149238|25816|18651,156342|25436|14362,104546|40663|28858
u39,21469|4321|1511,99197|8973|3601,81292|14996|4456,158158|14710|4459,89361|17265|4461,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
u41,74073|33684|26456,113937|55432|28434,119040|50190|33693,92298|64282|32560,145382|67145|36442,58234|26950|20267,56908|14148|11615,86480|27841|11926,59680|47964|36242,66624|62302|22397
u42,4432|1776|218,144560|96307|36019,151051|84867|31021,111867|42129|23492,128631|37345|12355,137271|56073|19873,130314|29100|15403,102292|43876|19728,46146|13150|4436,0|0|0
u43,95|49|10,129584|64546|63826,131644|60561|55333,126314|103753|84972,131307|54641|38978,150312|43534|23631,115178|44725|22668,92767|53694|22053,109086|44212|35344,64637|33952|15708
u44,116|52|6,135068|43735|15433,136621|58008|19750,124733|45554|18927,143336|49670|22534,148391|60235|20211,139301|31339|12434,147014|40129|17429,149119|48218|14262,82322|37425|12535
u45,150|108|25,89431|86684|43072,114767|88642|53582,62476|30326|24391,69972|35873|18838,78212|45297|26117,124226|53549|26323,64371|31925|17779,94027|58145|20088,45636|23422|13157
u46,2969|3810|1790,161382|122765|94396,126772|104070|76665,132021|88173|60719,104309|86272|86387,113887|104588|96327,120655|112640|91391,195250|80775|83081,35738|44244|38063,0|0|0
u47,63399|11861|15556,69255|10955|21411,79599|13095|19892,127070|19530|38100,80415|16496|19993,80844|15284|16686,10118|4721|3179,41484|12845|9837,131493|53570|43603,62192|38157|33484
u49,55208|22699|32692,132429|25917|35677,143203|29296|26897,129157|44104|35494,131892|38487|34982,113444|37581|32559,116940|31372|42592,255817|136222|88006,235195|175805|94275,170476|91932|66389
u50,68816|27541|9963,157349|42876|12557,161385|42688|9321,157787|38829|10837,94133|19003|4693,22701|3430|637,68585|17775|3807,60921|20535|4631,0|0|0,14462|11405|5409
u51,92857|45183|31774,139828|52351|44166,144503|38853|35342,146928|37122|26203,143489|36062|30294,138477|40453|47262,140292|37955|36709,142326|50463|32967,136230|68021|47938,108106|50364|32606
u52,47944|14462|12770,131470|132602|22312,130593|105714|23286,138265|17045|16092,121079|22262|17239,138991|10217|24416,119072|5154|12461,142762|16479|19425,144662|15482|21040,78358|3057|7317
u53,94977|85547|27850,143281|106897|34719,140356|74053|24128,132574|63615|24726,151315|69959|25146,120222|57834|39934,125440|72200|37625,132222|34679|10909,92046|43157|7416,107841|25179|8960
u54,68225|91006|55187,130508|59231|28879,134505|38776|40327,145324|68394|32082,290152|68438|21949,121786|70373|38427,59541|32066|23927,0|0|0,0|0|0,34348|31693|13353
u56,68108|17851|49250,127019|42486|52623,138552|58913|42361,134520|53996|46949,134502|43948|46168,108099|36300|27675,0|0|0,119942|38855|40997,127359|28906|37740,93129|47886|48741
u57,67961|75022|71400,92051|52349|78835,149109|99659|91473,116235|90966|77418,115891|89980|72854,113879|68993|68507,104640|61372|89707,102787|90944|91358,114921|84459|77217,92069|81930|58745
u58,90282|92962|38764,123696|91347|59357,113550|81278|84323,136360|72947|39924,152536|9021|9415,126805|10690|3979,128005|95218|49619,121963|114324|67231,117415|95960|63346,48412|55533|20944
u59,48006|61309|91286,114376|110836|124861,210641|62346|115209,363807|78217|137988,324460|100775|142307,314017|93439|198751,202172|64300|194349,268983|85808|174960,187251|66993|308035,207896|61067|169685
