uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,161,156,128,147,132,200,224,107,114,121
u01,156,174,184,186,226,88,198,195,191,130
u02,105,115,123,171,80,94,95,99,77,139
u03,18,25,17,21,27,16,7,13,12,0
u04,222,256,246,266,212,228,242,230,116,0
u05,174,153,104,106,94,118,87,70,71,80
u07,163,310,136,126,16,67,48,53,0,0
u08,95,152,105,130,109,152,151,114,144,110
u09,102,126,117,127,93,110,126,130,138,74
u10,96,123,95,104,103,92,95,107,125,98
u12,86,135,97,60,64,61,87,117,103,93
u13,31,63,59,71,86,44,85,89,79,64
u14,261,252,205,186,222,209,165,139,71,145
u15,144,130,89,85,75,111,48,54,9,24
u16,107,109,70,99,67,65,83,36,41,17
u17,39,84,60,87,74,79,69,50,64,64
u18,92,111,102,54,98,49,87,50,59,37
u19,125,122,114,72,62,9,40,44,91,80
u20,116,83,112,15,52,33,65,26,20,0
u22,107,123,2,99,81,18,102,147,134,164
u23,69,104,91,65,101,74,103,66,39,0
u24,154,111,142,109,106,0,0,0,0,0
u25,107,126,97,98,81,96,153,45,17,14
u27,122,82,80,63,79,88,97,90,83,83
u30,224,231,273,210,236,193,203,127,239,158
u31,141,122,126,91,78,80,83,81,81,67
u32,205,142,173,132,192,22,166,145,249,178
u33,55,109,113,111,157,121,204,70,21,29
u34,122,133,78,82,39,124,49,78,38,96
u35,39,80,94,83,68,53,65,54,23,93
u36,66,75,78,127,175,93,83,51,47,80
u39,8,12,14,10,18,0,0,0,0,0
u41,88,67,93,108,86,112,38,49,86,93
u42,1,85,73,55,41,47,42,65,24,0
u43,0,151,131,202,108,56,53,61,98,87
u44,0,36,47,45,53,48,29,41,33,52
u45,0,119,127,67,78,87,62,49,55,73
u46,14,224,182,144,205,229,217,197,158,0
u47,64,71,66,90,55,39,26,32,103,139
u49,108,84,64,84,83,77,101,209,224,184
u50,41,29,22,25,13,10,15,25,0,30
u51,105,105,84,62,72,112,87,78,114,90
u52,53,53,55,38,41,58,29,46,50,20
u53,92,82,57,58,59,95,89,25,20,29
u54,183,68,96,76,52,91,79,0,0,111
u56,164,125,100,111,109,76,0,97,89,135
u57,238,187,217,184,173,163,213,217,183,163
u58,129,141,200,110,52,9,118,160,150,116
u59,304,297,274,328,338,473,462,416,733,471
