uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,230,301,324,290,300,217,247,231,185,215
u01,297,314,327,313,266,321,202,295,319,290
u02,324,331,321,310,333,319,331,316,339,267
u03,354,350,369,316,354,373,364,312,258,0
u04,242,253,239,252,279,267,270,274,271,0
u05,293,311,335,309,347,327,286,271,202,266
u07,299,259,338,327,372,343,304,249,0,0
u08,323,313,347,329,343,322,323,337,313,238
u09,294,255,343,307,329,351,329,285,280,285
u10,331,340,336,330,330,330,334,315,306,249
u12,337,309,319,360,345,348,317,335,343,248
u13,323,363,331,333,385,292,245,340,287,235
u14,247,263,244,287,269,294,214,207,176,178
u15,305,244,273,185,215,228,206,275,25,98
u16,346,343,308,357,333,355,339,314,363,312
u17,335,328,333,301,329,320,294,347,323,279
u18,340,335,357,357,317,361,258,302,326,225
u19,268,401,319,346,345,371,358,349,351,300
u20,233,339,322,289,354,279,243,297,238,0
u22,331,310,373,330,268,121,291,262,220,164
u23,286,328,317,348,322,334,309,321,318,0
u24,262,334,319,303,332,0,0,0,0,0
u25,220,263,182,272,217,153,37,115,79,97
u27,234,353,272,361,316,324,346,339,340,293
u30,232,268,268,290,253,292,295,247,268,261
u31,272,333,341,377,359,354,334,320,287,256
u32,260,344,320,266,289,347,304,311,276,255
u33,270,318,311,316,292,312,255,280,24,44
u34,227,303,231,202,261,263,201,260,153,196
u35,287,358,331,324,351,361,358,347,360,302
u36,269,353,354,316,284,312,335,355,372,290
u39,119,330,270,376,372,0,0,0,0,0
u41,246,271,330,256,346,323,189,360,165,277
u42,36,344,359,266,306,326,310,340,256,0
u43,1,308,313,300,312,357,274,257,303,359
u44,1,321,325,296,341,353,331,350,355,343
u45,2,248,273,173,233,260,295,178,261,253
u46,24,384,301,314,248,271,287,464,148,0
u47,264,230,265,302,223,192,84,138,313,259
u49,184,315,340,307,314,270,278,609,559,473
u50,286,374,384,375,261,378,285,338,0,80
u51,309,332,344,349,341,329,334,338,324,300
u52,199,313,310,329,288,330,283,339,344,217
u53,316,341,334,315,360,286,298,314,255,359
u54,227,310,320,346,690,289,198,0,0,286
u56,227,302,329,320,320,300,0,285,303,258
u57,226,219,355,276,275,271,249,244,273,255
u58,300,294,270,324,363,301,304,290,279,268
u59,160,272,501,866,772,747,481,640,445,577
