uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,294,250,238,271,244,204,246,228,134,261
u01,228,305,316,268,275,109,299,297,367,233
u02,153,160,229,249,182,202,96,140,120,246
u03,61,67,48,42,58,31,30,31,25,0
u04,214,214,231,203,211,186,259,229,151,0
u05,206,203,150,136,159,157,131,101,98,259
u07,168,271,175,175,22,98,50,97,0,0
u08,150,245,190,206,206,246,218,185,240,236
u09,183,267,331,299,189,286,228,256,301,176
u10,144,159,132,166,162,134,153,131,234,174
u12,226,231,174,155,140,177,184,232,232,162
u13,89,113,129,113,154,92,121,147,140,96
u14,239,285,269,248,255,304,192,170,108,218
u15,238,152,160,105,159,259,131,123,16,57
u16,221,198,157,184,161,135,138,86,81,83
u17,150,179,121,179,169,129,138,99,147,126
u18,159,216,201,125,247,62,146,147,163,140
u19,204,225,278,151,129,41,94,94,196,205
u20,114,119,166,50,92,65,56,74,44,0
u22,166,162,0,143,65,23,83,154,67,129
u23,88,132,117,100,149,99,104,51,53,0
u24,254,268,259,229,240,0,0,0,0,0
u25,242,241,249,231,224,137,112,118,76,77
u27,169,179,154,115,133,135,152,128,131,142
u30,243,270,280,273,309,234,199,111,293,254
u31,177,201,234,270,192,135,148,153,150,183
u32,291,271,297,171,276,77,208,179,282,297
u33,90,158,176,182,248,177,244,100,54,9
u34,176,256,144,92,109,162,75,132,56,104
u35,90,180,150,68,105,86,111,71,77,130
u36,142,101,118,192,134,119,93,71,84,112
u39,24,29,49,35,71,0,0,0,0,0
u41,112,131,139,214,159,149,47,116,133,259
u42,14,229,202,100,124,133,80,146,73,0
u43,0,153,144,247,151,103,106,149,122,188
u44,0,104,138,108,118,143,74,95,114,155
u45,1,240,211,84,149,150,127,88,161,130
u46,31,292,247,209,205,249,268,192,184,0
u47,49,36,43,46,45,36,39,42,127,158
u49,75,61,69,105,91,89,74,324,418,255
u50,114,102,101,92,52,57,74,114,0,63
u51,150,124,92,88,85,96,90,120,161,139
u52,60,315,251,40,53,24,12,39,36,8
u53,285,254,176,151,166,137,171,82,119,83
u54,303,141,92,162,162,167,106,0,0,264
u56,59,101,140,128,104,100,0,92,68,133
u57,250,124,237,216,214,164,146,216,201,227
u58,309,217,193,202,50,25,226,272,228,308
u59,204,263,148,186,239,222,153,204,159,169
