uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,539,428,555,933,897,910,627,584,316,1533
u01,362,276,220,400,1002,374,298,478,339,2795
u02,479,936,867,1244,1168,1413,2003,1538,2515,6621
u03,207,363,285,165,652,288,350,341,155,0
u04,483,779,787,1109,1056,863,1017,682,598,0
u05,540,1040,969,1138,1678,2321,3211,3702,2433,42384
u07,847,1013,1390,1784,1486,1469,838,334,0,0
u08,948,693,906,1630,1365,1729,2484,4015,2174,2156
u09,32,513,605,860,1279,1214,2334,1647,682,4676
u10,837,1524,1835,2303,2083,1441,1900,1482,1752,923
u12,204,417,393,675,584,513,1035,916,1374,590
u13,202,1397,1065,1948,3039,7169,4371,54404,64120,34463
u14,62,835,1493,1741,1605,2344,1529,1235,1578,28179
u15,388,401,720,804,613,912,545,536,22,472
u16,695,657,476,1040,751,851,2036,2794,1802,956
u17,449,756,1357,1148,1361,661,1529,777,1962,104
u18,264,90,503,394,758,1541,611,947,15830,6152
u19,372,802,882,1334,1772,1857,2557,2209,2943,4885
u20,122,327,652,403,1991,1260,1123,1614,622,0
u22,113,533,558,971,400,108,473,642,422,578
u23,164,350,707,1374,1818,1321,1344,1154,607,0
u24,768,1494,1294,1647,1881,0,0,0,0,0
u25,214,452,561,618,1006,602,17,91,6429,20777
u27,233,649,705,1028,667,584,450,766,509,6076
u30,473,1078,1043,1587,1673,2210,1294,836,22467,37721
u31,295,867,741,1728,683,1477,1480,939,2846,515
u32,483,746,912,1026,1112,1088,1690,658,34883,0
u33,482,921,917,1172,297,564,515,633,89,0
u34,471,551,423,670,748,286,975,707,70,0
u35,467,623,750,1311,1808,1411,1492,1456,1567,1075
u36,779,1210,997,1072,1042,1492,1578,45480,14581,60193
u39,47,683,334,493,214,0,0,0,0,0
u41,439,500,794,707,1395,363,201,79,10025,29683
u42,115,1005,790,848,944,1069,781,483,106,0
u43,10,479,532,1002,1120,1204,998,1053,351,453
u44,10,1622,1206,1176,989,1316,1156,981,1408,1217
u45,14,323,658,550,492,810,1453,407,879,467
u46,115,2295,1450,1055,1582,1367,1146,1363,21224,0
u47,339,634,290,1381,647,757,340,778,2397,1728
u49,116,304,357,339,245,1,293,25153,77820,79682
u50,1632,1825,1641,2269,1084,269,2925,13640,0,1787
u51,929,1004,922,1054,1474,1216,3673,16647,2329,7916
u52,238,502,516,755,681,820,641,562,7511,8918
u53,683,714,1272,1106,1775,1316,1325,1009,902,1713
u54,429,1229,1132,2470,1707,331,563,0,0,699
u56,249,606,530,664,467,552,103,462,609,411
u57,363,592,865,1137,1288,1704,1625,1275,2166,52037
u58,286,205,343,504,427,472,886,611,282,272
u59,358,719,490,808,1259,1268,880,1188,986,1308
