uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,134,107,111,155,149,130,89,116,63,255
u01,72,39,55,66,143,62,49,68,48,931
u02,95,133,123,177,194,201,286,219,359,1103
u03,41,51,57,82,93,72,58,85,77,0
u04,96,111,112,158,150,123,145,97,149,0
u05,108,148,138,162,239,331,458,528,347,14128
u07,169,144,198,254,212,209,119,111,0,0
u08,189,99,129,232,273,247,354,573,310,718
u09,32,73,86,122,182,173,333,235,136,935
u10,167,217,262,329,297,205,271,211,250,184
u12,40,59,56,96,83,73,147,130,196,118
u13,67,199,152,278,434,1024,1092,7772,9160,8615
u14,62,119,213,248,229,334,218,205,263,7044
u15,77,57,120,114,204,304,136,134,11,94
u16,139,93,68,148,150,170,290,399,257,318
u17,89,108,193,164,194,94,254,111,280,20
u18,52,45,71,131,252,220,203,157,2638,6152
u19,93,114,126,190,253,265,365,315,420,814
u20,30,54,93,100,284,252,187,230,207,0
u22,56,76,79,138,66,27,67,91,70,115
u23,32,50,101,196,259,188,192,164,151,0
u24,153,213,184,235,313,0,0,0,0,0
u25,42,64,80,88,167,100,17,45,3214,6925
u27,46,108,100,146,95,97,64,127,72,1215
u30,94,154,149,226,239,315,184,167,3209,12573
u31,73,123,105,246,170,295,246,156,474,515
u32,96,106,130,146,158,181,241,164,4983,0
u33,96,131,131,167,74,112,103,105,44,0
u34,117,78,60,95,124,143,162,176,70,0
u35,93,89,107,187,258,201,213,208,223,215
u36,155,172,142,153,148,213,225,6497,4860,10032
u39,15,136,66,70,71,0,0,0,0,0
u41,87,71,132,117,199,121,40,19,1432,7420
u42,57,143,112,141,134,152,111,96,35,0
u43,10,68,76,143,160,172,142,175,58,226
u44,10,231,172,168,247,219,231,140,201,304
u45,14,53,94,91,164,162,207,81,175,155
u46,57,327,207,150,226,195,163,194,5306,0
u47,84,126,58,197,107,151,170,155,342,432
u49,23,43,51,48,35,1,97,3593,11117,13280
u50,408,260,234,324,180,269,731,6820,0,893
u51,185,143,131,150,210,173,524,2378,332,1979
u52,47,71,73,107,97,117,91,80,1073,1486
u53,136,102,181,158,253,188,189,144,150,342
u54,85,204,188,352,243,82,140,0,0,349
u56,49,86,75,110,66,78,51,66,87,82
u57,72,84,123,162,184,243,232,182,309,8672
u58,57,29,49,72,61,67,126,87,40,90
u59,71,179,70,115,179,181,125,169,140,218
