uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,167,180,183,188,175,165,187,143,111,159
u01,168,168,168,166,164,135,111,168,156,62
u02,164,175,171,168,168,160,176,169,172,132
u03,168,160,168,142,163,168,163,82,34,0
u04,169,168,162,168,168,168,168,168,84,0
u05,168,168,168,159,167,168,145,138,102,51
u07,168,166,166,167,168,168,144,49,0,0
u08,173,199,220,214,206,223,200,204,212,64
u09,159,134,165,154,164,168,168,151,151,116
u10,163,168,168,168,168,168,168,168,158,144
u12,178,200,181,181,182,183,180,187,184,155
u13,68,225,172,173,202,138,136,184,154,71
u14,162,168,155,168,163,168,126,105,94,68
u15,157,128,131,98,57,50,54,73,4,33
u16,162,161,144,168,148,165,162,146,168,60
u17,162,168,168,160,166,168,133,168,161,138
u18,168,144,168,168,156,168,67,123,145,8
u19,132,166,166,168,168,168,169,168,168,130
u20,130,168,168,56,168,95,114,139,48,0
u22,168,163,168,167,111,35,156,142,116,127
u23,146,150,168,168,168,168,168,168,83,0
u24,142,166,186,201,164,0,0,0,0,0
u25,123,136,104,137,107,86,7,26,15,19
u27,128,168,136,168,157,161,168,165,166,158
u30,142,165,168,168,158,161,168,92,159,131
u31,147,168,182,182,171,174,166,161,242,0
u32,163,168,168,168,160,134,164,96,0,0
u33,138,168,168,168,168,168,168,134,11,0
u34,121,154,115,106,99,38,99,72,5,0
u35,147,168,168,168,168,168,168,165,165,108
u36,146,176,171,162,168,156,167,163,168,164
u39,63,105,87,168,92,0,0,0,0,0
u41,143,133,143,107,165,70,69,96,77,78
u42,44,158,168,132,136,145,145,111,40,0
u43,40,153,157,159,152,159,119,98,123,67
u44,40,150,168,166,168,168,161,171,169,90
u45,40,115,145,80,77,90,144,74,108,53
u46,72,227,183,192,181,172,194,174,98,0
u47,98,91,98,163,100,97,12,53,167,70
u49,617,174,185,181,177,0,17,170,212,315
u50,98,168,207,168,98,24,71,63,0,26
u51,210,176,171,168,168,168,168,168,168,168
u52,341,150,156,169,144,169,139,167,169,140
u53,168,166,157,146,168,151,153,133,95,117
u54,380,168,183,199,173,167,98,0,0,162
u56,260,162,168,168,168,159,35,147,161,149
u57,121,154,163,165,167,165,167,164,173,166
u58,169,230,164,168,168,167,168,168,168,62
u59,134,270,197,168,171,178,202,178,157,159
