uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,23,25,26,26,25,23,26,20,18,22
u01,24,24,24,23,23,22,18,24,22,20
u02,23,25,24,24,24,22,25,24,24,22
u03,24,22,24,20,23,24,23,20,17,0
u04,24,24,23,24,24,24,24,24,21,0
u05,24,24,24,22,23,24,20,19,14,17
u07,24,23,23,23,24,24,20,16,0,0
u08,24,28,31,30,29,31,28,29,30,21
u09,22,19,23,22,23,24,24,21,21,16
u10,23,24,24,24,24,24,24,24,22,20
u12,25,28,25,25,26,26,25,26,26,22
u13,22,32,24,24,28,19,34,26,22,17
u14,23,24,22,24,23,24,21,17,15,17
u15,22,18,18,14,14,16,13,18,2,6
u16,23,23,20,24,21,23,23,20,24,20
u17,23,24,24,22,23,24,19,24,23,23
u18,24,24,24,24,22,24,22,20,20,8
u19,22,23,23,24,24,24,24,24,24,21
u20,21,24,24,14,24,19,19,19,16,0
u22,24,23,24,23,18,8,22,20,19,18
u23,20,21,24,24,24,24,24,24,20,0
u24,20,23,26,28,27,0,0,0,0,0
u25,17,19,14,19,17,12,7,8,5,6
u27,18,24,19,24,22,23,24,23,23,22
u30,20,23,24,24,22,23,24,18,22,21
u31,21,24,26,26,24,24,23,23,34,0
u32,23,24,24,24,22,22,23,24,0,0
u33,19,24,24,24,24,24,24,22,5,0
u34,20,22,16,15,19,19,14,18,5,0
u35,21,24,24,24,24,24,24,23,23,21
u36,20,25,24,23,24,22,23,23,24,23
u39,12,21,17,24,23,0,0,0,0,0
u41,20,19,23,17,23,23,13,24,15,19
u42,11,22,24,22,19,20,20,22,13,0
u43,13,21,22,22,21,22,17,16,20,22
u44,13,21,24,23,24,24,23,24,24,22
u45,13,19,20,13,19,18,20,12,18,17
u46,18,32,26,27,25,24,27,24,24,0
u47,19,18,19,23,16,13,6,10,23,17
u49,88,24,26,25,25,0,8,24,30,45
u50,19,24,29,24,16,24,17,21,0,6
u51,30,25,24,24,24,24,24,24,24,24
u52,48,21,22,24,20,24,19,23,24,20
u53,24,23,22,20,24,21,21,19,15,23
u54,63,24,26,28,24,23,19,0,0,81
u56,37,23,24,24,24,22,17,21,23,21
u57,24,22,23,23,23,23,23,23,24,23
u58,28,32,23,24,24,23,24,24,24,20
u59,22,38,28,24,24,25,28,25,22,22
