uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,2343|128,3042|217,2865|255,3062|209,2909|225,2866|281,3188|275,2535|176,1396|167,2570|178
u01,2045|155,3759|255,4086|260,3633|328,3684|357,1043|94,3265|257,3758|306,1220|64,1290|103
u02,1413|80,2113|167,2719|159,3233|214,2044|136,2338|189,1381|106,1689|108,1470|106,2597|218
u03,465|27,769|57,534|63,575|92,706|85,427|80,348|42,221|19,90|13,0|0
u04,2044|187,3139|329,3254|309,3148|345,2944|303,2715|353,3581|376,3292|399,993|136,0|0
u05,2017|123,2708|206,1931|153,1830|156,2012|213,2070|228,1655|163,1249|143,1340|135,1311|120
u07,1736|156,4223|341,2466|289,2359|227,223|37,1203|140,752|128,532|55,0|0,0|0
u08,1326|120,3092|232,2456|271,2572|268,2612|339,3116|297,2920|317,2388|292,3173|299,1459|125
u09,1591|132,3149|212,3837|275,3557|282,2192|201,3362|255,2800|253,3032|253,3477|235,1593|171
u10,1361|152,2238|266,1708|245,2035|230,2018|257,1632|213,1880|233,1645|200,2850|311,1886|153
u12,1918|173,2770|207,2011|128,1847|155,1621|157,1948|138,2232|198,2799|261,2776|216,1665|163
u13,443|38,1484|216,1614|237,1507|272,2022|285,1116|155,879|119,1930|260,1653|228,744|105
u14,2475|154,3867|205,3185|219,3073|186,3488|223,3907|249,2620|207,1889|150,1283|150,1479|136
u15,2329|175,2164|180,2039|173,1475|127,1208|89,1270|68,916|78,886|90,64|11,492|61
u16,2039|174,2631|239,1939|231,2405|267,2119|261,1738|155,1796|152,1059|140,1010|75,417|29
u17,1052|93,1970|134,1283|115,1928|181,1828|176,1388|161,1233|116,1117|149,1629|142,1164|129
u18,1490|135,2249|130,1023|76,1474|120,2422|218,327|38,740|46,1417|139,1642|139,164|10
u19,1468|126,2629|234,3105|253,1735|158,1486|193,310|34,1061|140,1038|110,2535|224,2085|214
u20,843|100,1541|215,2053|237,254|53,1143|167,530|83,565|72,824|84,172|41,0|0
u22,1558|126,2124|176,0|0,1512|117,456|35,145|31,982|150,1409|183,944|160,1677|131
u23,828|96,1623|186,1397|158,1240|168,1815|182,1220|181,1290|162,600|123,350|59,0|0
u24,2091|172,3116|236,3141|238,2582|183,1920|219,0|0,0|0,0|0,0|0,0|0
u25,2053|126,2969|229,2712|161,2720|180,2532|164,1798|135,240|11,478|30,386|40,266|45
u27,1640|164,2186|234,1834|201,830|108,1638|244,1731|224,2011|276,1701|251,1796|277,1588|233
u30,2441|169,3727|229,4023|227,3607|244,4072|241,3256|208,2912|209,1336|118,3998|228,2866|234
u31,1798|261,2503|310,2956|375,3285|368,2315|248,1773|256,1806|266,1809|259,1468|210,45|2
u32,2692|172,3453|238,4037|313,2577|245,3647|238,390|33,2902|227,1387|81,4037|292,2119|116
u33,713|42,1925|110,2085|129,2144|106,2845|159,2171|123,2988|182,908|51,0|0,0|0
u34,1358|91,3261|244,1826|163,1293|127,1182|180,660|67,1022|141,982|116,53|10,0|0
u35,803|73,2216|187,1841|195,927|117,1363|183,1158|146,1422|164,959|119,859|104,1222|139
u36,1190|127,1218|213,1336|214,1706|173,1992|301,1614|160,1281|220,872|163,833|148,1337|195
u39,137|37,303|65,455|96,427|122,533|115,0|0,0|0,0|0,0|0,0|0
u41,1095|112,1579|137,1490|120,1923|138,2029|191,858|80,424|69,775|104,1576|146,1693|116
u42,59|14,2733|214,2357|214,1169|104,1125|131,1689|201,864|95,1328|157,144|17,0|0
u43,0|0,2472|256,2161|205,3638|275,1819|195,1462|163,1566|158,1659|167,1556|169,1088|143
u44,0|0,1172|172,1523|181,1140|146,1293|180,1552|185,741|80,1029|161,1191|146,1017|150
u45,0|0,2446|149,2759|206,852|87,1128|152,1424|163,1452|164,954|96,1546|153,715|89
u46,99|9,3987|314,3183|273,2570|200,2764|195,3552|297,3610|267,2896|267,1279|85,0|0
u47,426|41,378|84,448|81,707|118,507|99,492|77,167|39,361|38,1525|193,1029|132
u49,912|86,891|138,925|130,1182|166,930|134,14|3,162|39,2852|270,3998|346,2707|350
u50,815|101,1184|161,1209|191,1081|192,548|91,100|17,492|62,585|83,0|0,362|29
u51,1446|154,1717|227,1307|221,1134|206,1124|168,1478|155,1258|217,1469|170,2042|220,1612|198
u52,923|95,957|101,1133|126,481|48,704|106,430|75,158|38,544|69,555|88,75|32
u53,2181|111,2782|225,1907|191,1729|197,1933|220,1652|190,1994|277,1160|194,1170|122,741|110
u54,2483|150,1680|133,1253|140,1972|228,1875|206,2050|233,1020|108,0|0,0|0,923|71
u56,654|90,1430|134,1785|195,1695|174,1437|196,1153|153,0|0,1327|143,977|162,1711|177
u57,2082|111,1651|179,2943|246,2737|213,2716|233,2183|227,2177|246,2824|235,2586|285,2554|274
u58,2446|132,2576|170,2715|210,1966|150,312|23,303|33,2502|190,3121|223,2713|182,1361|104
u59,1895|154,3266|304,2160|321,2653|450,3230|472,3618|484,2121|396,3101|547,2487|453,2272|504
