uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,426,573,619,633,560,308,560,326,170,372
u01,814,687,929,471,856,862,451,882,644,324
u02,660,653,567,664,586,563,507,539,480,522
u03,561,485,345,573,550,611,358,749,98,0
u04,792,1018,959,754,1031,856,972,966,1001,0
u05,717,829,755,503,649,898,515,520,346,616
u07,512,813,804,845,685,618,781,747,0,0
u08,700,605,716,461,413,537,713,582,617,325
u09,505,290,505,437,640,513,689,527,855,504
u10,865,875,659,622,735,510,339,545,548,707
u12,897,610,701,923,671,740,728,798,791,434
u13,568,707,541,345,598,323,524,620,418,422
u14,1030,857,664,737,682,436,747,348,445,90
u15,576,899,519,261,219,596,454,724,0,266
u16,620,324,510,555,274,370,532,337,693,246
u17,800,838,869,700,794,703,930,622,621,609
u18,747,460,746,785,489,237,102,1025,351,437
u19,533,718,708,607,690,732,727,711,718,311
u20,609,676,604,912,722,431,164,553,0,0
u22,942,673,782,1022,716,398,829,391,412,433
u23,742,845,895,715,868,600,758,775,550,0
u24,467,559,527,347,505,0,0,0,0,0
u25,486,564,438,340,620,260,0,76,313,309
u27,334,581,529,488,414,535,609,599,566,304
u30,659,1019,789,537,495,577,774,988,408,635
u31,266,461,445,498,665,658,576,493,667,251
u32,734,681,601,560,625,824,1014,336,621,541
u33,882,720,649,596,750,845,902,731,89,0
u34,560,513,322,423,153,316,145,585,0,85
u35,584,227,491,276,158,154,188,425,0,222
u36,594,725,648,803,683,657,695,776,755,472
u39,257,409,123,562,442,0,0,0,0,0
u41,442,330,577,327,376,369,256,813,297,428
u42,0,453,605,842,616,339,566,661,1079,0
u43,0,573,647,551,605,787,840,571,558,391
u44,0,638,404,249,588,478,334,237,324,302
u45,0,441,379,638,263,674,467,138,595,1062
u46,66,713,620,644,438,406,473,436,324,0
u47,342,263,409,182,142,389,0,172,420,574
u49,0,0,0,0,0,0,824,640,521,592
u50,500,419,541,769,512,658,126,421,0,158
u51,560,833,559,608,423,665,686,489,435,749
u52,681,808,663,629,576,515,435,426,688,476
u53,552,543,503,769,707,519,520,484,968,511
u54,668,413,685,653,655,436,336,0,0,355
u56,594,374,578,507,723,360,0,532,652,372
u57,682,575,853,653,700,589,568,594,635,643
u58,376,644,441,563,597,488,960,715,653,211
u59,465,816,500,387,503,378,310,406,379,408
