uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,1637|9,1450|6,3091|13,3471|15,2999|13,2021|7,1473|5,1429|4,430|2,548|1
u01,2203|5,1384|3,1924|7,2077|6,2056|4,2586|7,601|2,2298|5,1049|2,429|3
u02,2420|5,3248|11,2724|13,2943|13,3103|13,1811|12,2884|8,2659|9,2910|16,1236|5
u03,1934|6,1623|4,2481|5,3641|10,3066|11,1325|4,1537|6,150|1,0|0,0|0
u04,2161|5,3262|8,2699|6,2715|9,3318|8,3059|9,3075|7,2478|6,889|2,0|0
u05,1211|3,2887|7,3709|13,2033|10,2174|10,2638|9,333|4,1176|5,1414|7,689|4
u07,1437|4,3009|9,2027|4,2433|8,2729|10,1434|7,752|3,1077|3,0|0,0|0
u08,1114|5,2223|10,2557|13,3661|17,2204|12,2329|12,2852|10,2038|11,1827|9,976|8
u09,2098|4,1908|5,2380|8,2988|8,1860|11,2580|10,1785|7,2809|7,1886|4,1112|7
u10,1171|7,1515|9,906|6,1814|12,1914|14,885|8,1816|11,1520|9,1202|4,816|5
u12,2869|9,3577|11,4135|15,3722|11,3214|8,3450|9,2490|7,3275|8,3337|11,1098|5
u13,75|1,912|7,1448|8,3350|20,1637|15,944|6,626|6,2495|18,1629|10,1286|6
u14,2644|6,3397|8,1408|7,1551|8,2849|12,2040|12,1432|5,1609|6,627|3,520|2
u15,1054|4,1019|4,1210|6,496|4,502|3,232|2,118|1,375|3,0|0,416|3
u16,1838|5,1061|6,2377|9,1971|9,1194|9,2890|13,1035|6,889|6,3283|12,1349|7
u17,671|6,1588|8,1084|6,2992|13,3060|15,2738|12,1647|6,1945|5,1792|7,401|3
u18,2048|9,732|4,2908|11,2537|10,2132|13,1385|6,400|3,1065|3,1610|8,276|3
u19,669|6,1241|11,1402|9,1470|8,2406|14,1312|7,1843|15,1725|11,1335|13,1457|11
u20,877|3,1980|10,611|3,0|0,2512|8,1216|5,362|2,885|3,0|0,0|0
u22,1754|5,755|5,1187|8,1613|11,1321|6,397|1,2126|6,1041|6,1360|6,1499|5
u23,1803|8,3352|15,3926|19,3726|20,3958|20,3393|20,4527|18,3123|14,1567|4,0|0
u24,1736|5,1907|6,1557|6,2063|5,2170|8,0|0,0|0,0|0,0|0,0|0
u25,490|1,763|7,637|6,892|3,524|4,270|3,0|0,0|0,379|2,221|2
u27,1193|5,3303|16,1298|5,2083|9,1114|7,2036|12,537|1,1930|6,919|3,1443|9
u30,1760|4,2876|7,3499|8,3130|10,2225|8,1294|4,1826|6,1130|4,1614|9,1415|6
u31,1455|7,3108|18,2439|19,2123|13,1904|14,1289|9,1920|12,838|6,1904|8,1041|7
u32,1512|4,2550|8,3124|8,2282|7,1783|8,1957|7,3497|8,1250|5,2799|11,2172|11
u33,1982|6,3537|11,2865|9,2315|7,2860|10,2437|10,2508|8,1955|7,0|0,0|0
u34,145|1,1305|6,622|3,340|2,961|4,237|2,364|2,845|4,242|2,272|1
u35,589|2,1727|4,673|3,1112|5,1756|5,400|2,880|6,1017|4,675|3,1386|8
u36,482|1,2785|8,1573|5,1852|6,1944|6,2342|9,2080|7,2435|8,2732|8,1162|5
u39,0|0,380|1,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0
u41,855|3,378|2,2258|7,605|3,2368|15,708|3,1002|5,891|2,702|6,1412|6
u42,0|0,779|3,1681|5,1174|4,1546|4,934|4,766|6,591|2,571|1,0|0
u43,0|0,2973|9,2695|10,1497|6,1024|8,1526|10,966|4,1281|7,1063|8,998|7
u44,0|0,864|7,1098|5,1056|5,2159|11,929|5,671|4,882|6,846|4,357|3
u45,0|0,1151|5,2181|11,804|6,2286|7,1110|5,988|7,257|3,1255|7,987|6
u46,220|2,2914|11,3195|11,3189|13,1623|6,2072|10,2159|5,2142|7,1620|4,0|0
u47,449|4,431|4,2076|7,1437|9,805|5,968|7,459|2,887|4,2892|12,928|5
u49,1151|11,2744|15,2769|18,2238|14,2236|15,0|0,284|3,3779|22,4820|28,4105|21
u50,144|2,2104|6,633|4,753|4,1004|5,0|0,1069|4,314|1,0|0,74|1
u51,1809|5,2291|5,2903|6,2724|6,1730|3,1953|6,2268|9,2159|5,1917|4,2196|6
u52,658|2,1917|6,2544|7,1452|5,1343|6,640|6,831|6,1719|10,3210|14,793|4
u53,1137|5,2301|9,1038|3,918|3,1395|8,1472|9,1979|6,1470|4,99|1,72|1
u54,1319|5,1491|6,1667|11,1602|10,2136|12,2105|10,1118|8,0|0,0|0,447|4
u56,1133|6,1977|12,1331|3,1398|3,158|2,1440|4,0|0,1203|3,1180|3,1025|3
u57,2314|7,2650|10,3115|11,3310|10,2973|13,2205|14,2714|10,3647|13,2961|10,2172|11
u58,1542|3,2509|7,2406|9,1581|7,2030|6,2076|6,1955|7,2594|6,2267|5,1342|4
u59,2136|9,2642|14,3131|13,3523|16,3429|23,3166|16,2584|13,2967|20,2854|16,2987|14
