uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,327,290,441,578,499,404,294,714,215,548
u01,550,461,384,415,514,431,300,574,524,214
u02,484,464,454,420,517,362,412,443,415,247
u03,386,541,496,728,511,441,512,150,0,0
u04,432,466,449,452,474,437,439,413,444,0
u05,605,577,529,508,434,527,111,588,282,344
u07,718,501,506,608,545,478,250,538,0,0
u08,371,370,365,523,367,332,407,291,261,488
u09,524,636,340,426,310,430,297,561,471,370
u10,234,303,302,302,273,147,363,253,300,163
u12,573,511,689,531,642,492,498,467,476,366
u13,75,182,289,558,233,236,208,356,271,428
u14,528,485,281,387,407,408,358,402,209,520
u15,263,339,242,248,251,116,118,187,0,138
u16,459,176,475,281,199,481,207,222,469,674
u17,167,264,271,427,510,547,549,486,358,200
u18,409,366,484,634,426,461,400,532,536,276
u19,167,206,233,294,343,262,307,345,190,291
u20,438,396,203,0,418,405,181,442,0,0
u22,438,188,197,230,264,397,531,260,272,499
u23,360,558,654,532,565,484,646,520,522,0
u24,434,381,311,687,542,0,0,0,0,0
u25,490,190,159,446,174,90,0,0,189,221
u27,397,471,324,520,222,407,537,386,306,360
u30,440,479,499,447,370,431,304,376,269,353
u31,363,444,348,303,272,214,320,279,380,347
u32,378,425,520,570,445,489,499,312,399,543
u33,495,589,573,463,476,487,418,488,0,0
u34,145,435,311,340,320,237,182,422,121,272
u35,294,431,224,370,585,200,176,339,225,462
u36,482,397,314,370,324,390,346,347,546,290
u39,0,380,0,0,0,0,0,0,0,0
u41,285,189,451,302,394,708,334,445,140,470
u42,0,259,336,391,515,311,153,295,571,0
u43,0,495,449,249,170,305,241,256,212,332
u44,0,172,219,211,308,232,223,147,211,357
u45,0,287,436,201,762,555,247,85,313,329
u46,220,485,456,455,405,345,431,428,405,0
u47,149,143,519,287,402,193,459,443,482,232
u49,287,392,395,319,447,0,284,629,688,684
u50,72,420,158,251,251,0,267,314,0,74
u51,452,458,580,454,576,390,378,539,479,549
u52,329,383,363,363,268,128,166,343,458,264
u53,284,328,346,306,348,368,395,367,99,72
u54,263,248,238,228,356,350,279,0,0,447
u56,283,329,665,466,79,360,0,401,393,341
u57,462,530,519,472,424,315,452,607,423,434
u58,514,627,601,263,676,346,488,432,566,447
u59,427,377,447,503,489,452,430,423,475,597
