uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,3013|22,4400|26,3923|26,4064|26,4503|31,4188|25,4468|30,3136|16,1165|7,2757|17
u01,5189|23,6368|27,6559|35,6575|29,8199|28,6643|23,1918|9,5374|18,3194|13,1392|11
u02,2102|8,2971|19,4435|25,2637|19,2285|15,3105|13,2249|16,2286|15,2942|15,1885|11
u03,4378|24,3261|12,3659|12,3576|13,4192|15,3174|13,1661|7,1248|5,96|1,0|0
u04,5319|27,8261|38,8790|35,6567|27,8322|34,6446|25,7168|31,6220|21,1144|3,0|0
u05,4866|24,7592|39,5765|27,3710|19,5340|22,6144|19,1921|10,1828|7,2144|9,759|4
u07,3927|19,7058|34,4895|15,7720|33,6059|24,5269|16,3508|8,1037|4,0|0,0|0
u08,3912|26,3769|24,5279|40,3438|22,3700|24,3141|24,4746|33,5645|41,4272|31,1399|11
u09,3287|14,5456|30,6078|26,7494|27,5038|23,6621|25,7719|29,4846|16,5145|17,2343|12
u10,4894|29,7371|46,6684|36,5211|28,5726|32,4158|29,3695|28,4728|31,3732|22,3675|20
u12,4093|25,4882|36,4630|29,6012|43,6252|31,6379|39,5304|34,6323|44,6185|36,2931|22
u13,828|4,6235|35,5430|27,3260|22,4534|24,1827|16,1340|10,4214|19,3728|31,1896|9
u14,5413|30,6511|35,5001|27,6319|29,5356|25,3645|22,4560|23,1933|11,1619|9,501|6
u15,3015|14,4552|13,1919|6,777|7,419|2,1341|4,1648|5,918|4,0|0,239|3
u16,3645|21,2988|22,4687|28,6510|32,3413|23,5148|29,5210|28,3984|23,5001|24,2401|12
u17,4900|24,7033|31,5459|22,4731|23,5594|35,6433|27,4412|18,4882|19,4116|21,2542|9
u18,4726|23,3340|15,6717|32,6119|32,4688|22,2253|12,667|5,1902|8,2328|10,1095|5
u19,2057|8,4764|21,4767|22,5468|27,5101|27,6310|28,5993|36,5424|36,5299|28,2947|21
u20,1662|9,4071|21,4620|20,1095|5,3961|22,1293|8,1465|5,3645|17,1144|3,0|0
u22,5226|27,4956|27,5433|29,5312|27,2881|12,565|4,6527|30,4178|20,3697|20,3079|16
u23,2939|18,4826|26,4409|22,4779|32,3980|21,4657|28,4262|24,5104|32,2114|11,0|0
u24,3638|18,5648|25,4832|26,5069|34,4132|23,0|0,0|0,0|0,0|0,0|0
u25,3498|21,4906|26,3752|21,4545|21,2511|8,623|3,0|0,0|0,279|1,706|3
u27,1721|11,4128|19,2668|16,3582|19,1780|14,2774|18,4024|19,2109|12,2631|11,1630|8
u30,3491|21,8402|43,7718|33,8693|43,5420|24,4084|15,3817|15,2965|8,4503|18,3706|16
u31,1834|14,2714|20,2465|20,1738|17,3610|33,3945|33,3066|22,3263|20,3254|20,1173|9
u32,4492|20,5136|26,6052|29,4746|26,5719|30,4016|16,7169|27,4514|19,4203|21,2507|14
u33,3013|15,4418|23,4410|25,3208|25,2992|16,4115|25,5415|35,4333|21,0|0,130|1
u34,1628|7,3813|16,624|2,632|3,0|0,73|1,406|3,1265|5,0|0,249|3
u35,2954|16,6061|28,2976|14,3055|16,1234|5,1262|7,1741|7,1067|4,522|2,929|5
u36,2740|15,5685|36,6231|39,6060|38,4816|32,4710|29,6468|41,5995|37,6707|40,4325|26
u39,264|1,698|5,68|1,662|2,612|4,0|0,0|0,0|0,0|0,0|0
u41,1625|11,3405|11,3585|15,1531|7,951|5,1105|3,859|4,1187|4,634|4,1264|4
u42,0|0,5333|30,2987|15,2774|12,1267|10,1952|9,1200|6,3699|14,532|2,0|0
u43,0|0,5068|24,5387|26,4433|22,5082|33,4158|21,2793|11,1602|4,3342|12,1494|9
u44,0|0,4437|26,6571|36,5400|27,6709|34,5330|31,2631|18,4055|24,4995|21,2014|8
u45,0|0,4258|29,5663|30,2711|15,1870|11,1512|9,6859|41,1419|13,4635|26,2121|10
u46,62|1,6225|40,4246|29,3197|22,2498|18,2380|13,3478|22,2663|14,832|5,0|0
u47,2272|7,937|5,2354|12,2245|14,1124|4,612|4,272|1,240|1,4312|28,1926|9
u49,1573|11,4006|27,2939|24,2102|16,2861|25,2352|20,3657|29,7206|51,6505|40,5002|36
u50,2314|12,4480|22,2871|18,4049|17,3439|16,0|0,1470|5,680|7,0|0,317|4
u51,4070|22,7324|37,7145|39,6316|32,7947|34,6899|31,5789|27,6705|30,6843|36,5684|28
u52,2304|16,6607|47,6048|45,4927|30,5270|32,5395|36,4045|27,4957|29,7200|39,2427|15
u53,3549|20,5286|29,4897|20,6015|30,6552|36,4254|29,6671|29,5615|23,2077|12,3562|13
u54,2470|15,3609|19,5639|37,4121|29,3584|31,2774|22,1185|8,0|0,0|0,606|4
u56,2954|15,3054|24,6021|27,3936|15,3547|17,3961|15,0|0,2787|11,1874|6,2172|7
u57,2850|19,4698|36,5539|36,5036|34,4568|30,3855|25,4680|32,4144|30,3735|24,3187|26
u58,4514|25,4654|26,4797|26,5358|31,5818|31,4400|25,6704|28,6760|31,7561|30,2801|13
u59,3048|16,5651|34,3016|16,1718|9,2213|14,2938|17,1850|10,845|8,2122|12,1914|9
