uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,602,733,560,580,643,598,638,522,291,551
u01,1037,909,937,939,1171,1107,639,767,638,464
u02,525,424,633,376,380,443,321,326,420,377
u03,729,815,609,715,698,793,553,312,96,0
u04,1063,1180,1255,1094,1188,920,1024,888,572,0
u05,973,1084,823,530,762,877,384,457,428,379
u07,785,1008,815,1102,1009,878,877,1037,0,0
u08,782,538,754,491,528,523,678,806,610,699
u09,821,779,868,1070,839,1103,1102,807,735,468
u10,978,1053,954,744,818,594,527,675,533,612
u12,818,697,661,858,893,911,757,903,883,488
u13,276,890,775,465,647,365,335,602,532,474
u14,1082,930,714,902,892,520,912,483,539,250
u15,603,1138,479,194,209,670,549,459,0,119
u16,729,426,669,930,487,735,744,569,714,800
u17,980,1004,779,675,799,919,882,976,588,508
u18,945,556,959,874,669,375,333,951,582,365
u19,685,680,681,781,728,901,856,774,757,589
u20,554,678,660,547,565,431,488,607,1144,0
u22,1045,708,776,758,720,188,932,596,616,769
u23,734,689,629,682,568,665,608,729,528,0
u24,727,1129,690,724,688,0,0,0,0,0
u25,699,700,536,649,837,311,0,0,279,235
u27,344,589,444,511,356,396,574,527,438,326
u30,698,1200,1102,1241,774,680,545,741,643,741
u31,366,387,352,248,515,563,438,543,542,234
u32,898,733,1008,949,817,803,1024,752,600,501
u33,753,631,630,458,427,587,773,866,0,130
u34,542,635,624,316,0,73,135,421,0,249
u35,738,1010,595,509,411,252,348,355,261,309
u36,685,812,890,865,688,672,924,856,958,720
u39,264,349,68,331,306,0,0,0,0,0
u41,541,681,717,382,475,552,429,593,211,421
u42,0,761,426,554,253,390,200,924,266,0
u43,0,724,769,633,726,693,558,534,557,498
u44,0,739,938,771,958,761,438,579,713,1007
u45,0,709,809,677,623,378,979,236,772,707
u46,62,889,606,456,356,396,496,380,277,0
u47,568,312,588,449,1124,306,272,240,616,481
u49,524,572,419,350,408,336,522,1029,929,833
u50,578,640,410,674,687,0,490,226,0,158
u51,814,1046,1020,902,1135,985,827,957,977,947
u52,768,943,864,703,878,770,577,708,1028,485
u53,709,881,816,859,936,709,953,935,1038,712
u54,494,601,805,588,512,396,296,0,0,303
u56,738,436,860,656,709,660,0,557,468,543
u57,712,671,791,719,652,550,668,592,533,637
u58,902,664,685,765,831,733,957,965,1080,933
u59,609,807,430,245,368,419,370,211,303,382
