uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,4.64,5.67,5.92,5.66,5.56,4.3,5.12,4.59,3.35,4.22
u01,6.32,6.22,6.5,6,6.26,6.44,4.34,6.25,5.89,4.98
u02,5.81,5.92,6.03,5.79,5.84,5.6,5.59,5.51,5.81,4.79
u03,6.35,6.41,6.38,5.99,6.34,6.69,6.26,5.31,3.8,0
u04,5.74,6.09,5.95,5.85,6.41,5.82,6.17,6.04,5.57,0
u05,6.19,6.58,6.39,5.74,6.35,6.64,5,5.19,3.78,4.63
u07,6,5.9,6.44,6.65,6.91,6.46,5.8,5.3,0,0
u08,6.1,5.73,6.31,5.86,5.85,5.71,6.03,6.11,5.62,4.53
u09,5.63,4.94,6.11,5.85,6.09,6.53,6.39,5.7,5.66,4.87
u10,6.41,6.7,6.42,6.14,6.29,5.8,5.84,5.92,5.58,4.74
u12,6.49,5.87,6.15,6.83,6.62,6.64,6.23,6.4,6.51,4.6
u13,5.33,6.46,5.85,5.73,6.4,4.75,4.18,5.94,4.94,4.36
u14,5.95,5.95,5.21,6,5.68,5.55,4.92,4.24,3.61,3.86
u15,5.37,5.33,4.79,3.2,3.48,4.33,3.69,4.89,0.33,1.77
u16,6.19,5.49,5.54,6.37,5.29,6.13,5.87,5.27,6.59,5.65
u17,6.36,6.48,6.45,5.92,6.46,6.55,6.2,6.68,5.89,5.12
u18,6.48,5.94,6.71,6.77,5.71,5.95,4.58,6.28,5.85,4.01
u19,4.96,6.43,5.98,6.25,6.33,6.59,6.5,6.39,6.32,5.05
u20,4.93,6.29,6.05,5.19,6.37,4.91,4.48,5.48,4.45,0
u22,6.62,5.78,6.36,6.31,5.13,2.47,6.18,5.1,4.84,4.19
u23,5.6,6.56,6.49,6.55,6.35,6.24,6.34,6.5,5.93,0
u24,5.16,6.45,5.95,5.83,6.16,0,0,0,0,0
u25,4.37,4.74,3.46,4.94,4.28,2.81,0.56,1.71,1.61,1.9
u27,4.33,6.28,4.94,6.12,5.3,5.7,6.37,6.08,5.96,4.91
u30,4.82,6.18,6.01,6.21,5.29,5.78,5.68,5.29,5.39,5.22
u31,4.63,5.76,5.55,5.8,6.09,5.96,5.61,5.5,5.15,4.13
u32,5.49,6.31,6.24,5.49,5.67,6.22,6.38,5.25,5.42,5.04
u33,5.52,6.23,6.14,5.89,5.75,6.16,5.9,5.91,0.52,0.79
u34,4.19,5.46,4.72,5.63,4.34,4.22,3.19,5.27,2.73,3.67
u35,5.28,6.37,5.8,5.65,5.86,5.55,5.64,5.88,5.72,5.45
u36,5.13,6.43,6.38,5.96,5.58,5.7,6.29,6.42,6.82,5.23
u39,2.06,5.52,3.93,5.98,5.71,0,0,0,0,0
u41,4.62,4.87,6.26,4.48,5.9,6,3.58,6.58,2.78,5.03
u42,0.46,5.7,6.08,5.36,5.22,5.24,5.06,6.22,5.03,0
u43,0.01,5.66,5.92,5.33,5.41,6.15,4.87,4.56,5.14,5.72
u44,0.01,5.77,5.9,5.33,6.42,6.25,5.62,5.85,6.14,6.2
u45,0.02,5.32,6.67,5.64,4.59,4.86,5.53,2.84,5.02,8.47
u46,0.59,7.15,5.65,5.58,4.63,4.89,5.23,6.16,4.52,0
u47,5.29,4.7,5.75,6.1,5.26,3.95,1.91,2.99,6.41,5.38
u49,3.4,5.26,5.39,4.98,5.26,4.15,5.24,10.66,9.96,8.95
u50,4.89,6.37,5.94,6.5,4.78,5.76,3.86,5.37,0,1.41
u51,5.76,6.5,6.55,6.48,6.56,6.29,6.19,6.39,6.09,5.96
u52,3.36,4.31,4.57,4.56,4.17,4.39,3.67,4.3,4.75,3.07
u53,5.83,6.24,5.97,5.89,6.64,5.53,5.92,5.66,5.12,6.11
u54,4.52,5.13,5.93,5.96,7.77,4.99,3.46,0,0,4.95
u56,5.5,5.84,6.48,5.98,5.87,5.38,0,5.3,5.7,4.81
u57,5.2,5.02,6.32,5.7,5.66,5.27,5.33,5.28,5.43,5.08
u58,6.1,6,5.67,5.98,6.66,5.4,6.55,6.26,6.42,5.3
u59,4.65,5.99,10.93,17.95,17.55,18.26,13.43,15.66,15.58,14.58
