uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,22,24,25,24,22,22,23,19,16,19
u01,24,24,24,23,23,22,18,24,22,20
u02,49,51,41,43,36,35,57,79,79,96
u03,24,22,24,20,23,24,23,20,17,0
u04,24,24,23,24,24,24,24,24,21,0
u05,24,24,24,22,23,24,20,19,14,17
u07,24,23,23,23,24,24,20,16,0,0
u08,35,62,53,106,68,60,58,54,71,43
u09,22,19,23,22,23,24,24,21,21,16
u10,23,24,24,24,24,24,24,24,22,20
u12,29,57,39,34,45,38,51,41,37,33
u13,22,28,22,23,27,19,18,23,21,16
u14,23,24,22,24,23,24,21,17,15,17
u15,22,18,18,14,14,16,13,18,2,6
u16,23,23,20,24,21,23,23,20,24,20
u17,23,24,24,22,23,24,19,24,23,23
u18,24,24,24,24,22,24,22,20,20,8
u19,22,23,23,24,24,24,24,24,24,21
u20,21,24,24,14,24,19,19,19,16,0
u22,24,23,24,23,18,8,22,20,19,18
u23,20,21,24,24,24,24,24,24,20,0
u24,20,23,38,42,37,0,0,0,0,0
u25,17,19,14,19,17,12,7,8,5,6
u27,18,24,19,24,22,23,24,23,23,22
u30,20,23,24,24,22,23,24,18,22,21
u31,21,36,48,37,32,26,28,27,131,0
u32,23,24,24,24,22,22,23,24,0,0
u33,19,24,24,24,24,24,24,22,5,0
u34,20,22,16,15,19,19,14,18,5,0
u35,21,24,24,24,24,24,24,23,23,21
u36,20,24,24,23,24,22,23,23,24,23
u39,12,21,17,24,23,0,0,0,0,0
u41,20,19,23,17,23,23,13,24,15,19
u42,11,22,24,22,19,20,20,22,13,0
u43,13,21,22,22,21,22,17,16,20,22
u44,13,21,24,23,24,24,23,24,24,22
u45,13,19,20,13,19,18,20,12,18,17
u46,59,63,57,62,41,46,44,50,40,0
u47,19,18,19,23,16,13,6,10,23,17
u49,132,35,35,42,40,0,8,24,32,59
u50,19,24,24,28,16,24,17,21,0,6
u51,23,24,24,24,24,24,24,24,24,24
u52,18,21,22,24,20,24,19,23,23,20
u53,24,23,22,20,24,21,21,19,15,23
u54,296,84,55,60,51,51,28,0,0,295
u56,489,34,24,24,24,23,19,21,23,21
u57,305,35,37,42,41,41,45,82,76,67
u58,25,32,23,24,24,23,24,24,24,20
u59,49,98,92,140,45,57,44,45,36,52
