uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,145|58,216|56,141|46,227|49,385|53,105|32,139|60,111|76,102|19,194|47
u01,319|165,153|88,308|81,165|117,195|65,182|61,201|61,277|84,243|55,531|76
u02,349|51,269|55,311|55,401|71,367|83,512|53,352|71,271|75,258|56,461|59
u03,818|11,127|13,129|21,220|22,709|18,123|14,118|12,115|41,121|8,0|0
u04,332|101,282|103,323|124,237|98,622|132,1131|132,299|110,425|118,157|60,0|0
u05,177|39,259|40,136|38,133|42,143|30,172|30,312|40,229|33,190|36,2981|47
u07,1235|99,1313|134,1250|68,1300|81,1430|58,1408|101,318|110,227|67,0|0,0|0
u08,213|47,235|51,327|51,342|75,707|59,367|62,398|70,378|59,1368|49,2396|40
u09,223|48,114|43,167|41,105|40,1959|202,976|121,779|69,207|61,252|63,879|34
u10,3041|73,315|39,337|41,365|49,385|44,581|46,199|44,190|33,148|28,164|34
u12,353|20,220|54,108|33,410|39,113|45,139|31,155|35,141|45,185|26,144|32
u13,44|21,195|22,156|29,276|25,974|25,838|15,636|19,1629|80,1761|30,1338|13
u14,431|87,352|60,306|58,387|71,488|46,600|57,711|64,344|67,205|45,347|15
u15,314|34,216|36,110|28,85|34,372|68,306|40,147|26,167|48,6|9,226|32
u16,175|31,147|30,145|32,292|45,871|29,284|50,363|68,181|36,414|36,424|20
u17,131|41,363|60,292|36,159|37,796|47,3105|75,286|54,369|42,274|34,237|54
u18,323|29,285|33,146|35,166|51,188|40,350|29,168|25,115|16,1722|12,1312|26
u19,112|29,143|30,153|45,163|31,2073|90,897|46,2352|89,217|48,496|18,604|35
u20,238|23,222|29,151|11,78|0,1784|31,268|23,169|16,164|31,135|54,0|0
u22,1355|42,908|43,1440|50,1420|49,1307|27,186|10,373|29,307|42,295|23,1908|108
u23,191|26,207|19,167|15,143|10,543|23,216|17,168|29,159|108,151|19,0|0
u24,383|44,376|48,378|52,375|47,412|61,0|0,0|0,0|0,0|0,0|0
u25,229|54,111|43,92|43,149|64,192|62,67|63,11|5,112|42,249|15,1003|210
u27,412|38,159|33,118|23,137|24,130|15,417|45,141|19,272|34,273|21,1341|66
u30,405|55,403|66,514|70,351|71,518|81,230|51,161|66,151|39,3357|136,3685|100
u31,68|23,177|39,284|47,301|37,270|30,548|44,213|38,133|27,147|27,60|0
u32,424|89,589|130,355|81,627|93,745|93,703|106,462|64,464|87,3536|246,3291|655
u33,310|35,386|45,361|49,363|58,373|62,886|62,857|73,77|27,61|0,0|0
u34,320|42,178|27,87|24,78|26,78|24,681|51,107|29,89|40,34|7,0|0
u35,124|13,166|13,153|23,238|34,246|16,232|22,229|34,158|29,134|14,160|26
u36,110|60,136|30,235|37,214|43,223|58,226|33,190|30,1608|60,1868|30,1919|47
u39,13|6,465|9,105|16,166|18,162|36,0|0,0|0,0|0,0|0,0|0
u41,238|31,282|35,352|38,261|32,1278|65,530|76,211|25,341|127,1375|78,3394|55
u42,14|0,127|21,153|26,351|23,525|51,428|47,325|66,311|73,105|13,0|0
u43,2|0,74|107,110|112,90|97,137|102,172|90,97|61,123|62,122|80,309|146
u44,2|0,98|12,147|13,155|20,169|35,448|22,61|13,64|20,223|12,89|11
u45,5|0,837|61,630|105,222|42,521|61,345|36,123|55,158|38,161|34,123|24
u46,115|6,575|94,537|81,586|99,448|87,538|86,576|101,556|85,3166|96,0|0
u47,73|24,111|41,78|33,131|41,93|24,102|42,58|10,39|39,179|39,164|41
u49,131|47,143|49,264|64,239|61,202|62,8|0,170|12,2318|99,3784|401,3395|446
u50,115|19,757|19,346|13,361|20,246|9,325|0,1254|35,3612|63,0|0,0|0
u51,149|41,135|26,144|31,164|37,643|43,281|34,257|24,948|82,192|33,396|36
u52,4550|82,5166|72,5386|112,5339|53,5050|136,6022|586,5167|290,6275|337,5428|716,3548|204
u53,1085|18,1212|20,775|15,242|14,363|14,436|21,332|16,273|36,227|8,1421|23
u54,200|72,140|41,108|20,230|36,345|38,348|69,223|83,0|0,0|0,1256|86
u56,461|26,551|32,168|19,78|31,76|30,71|25,51|19,68|29,85|36,205|47
u57,1313|53,1319|71,1302|60,1262|89,1480|64,1361|134,1369|143,1369|103,1421|85,3130|61
u58,438|18,449|28,378|27,492|14,396|13,445|20,486|27,457|25,464|26,383|21
u59,1161|69,802|69,1450|63,1311|88,1308|52,1445|78,1319|67,1316|82,1393|41,1313|68
