uid,>5person,social times
u00,0.886363636,44
u01,1,18
u02,0.95,20
u03,0.5,20
u04,1,27
u05,1,6
u07,1,24
u08,0.976744186,43
u09,1,1
u10,1,30
u12,0.5,18
u14,0.961538462,26
u15,1,10
u16,0.9,40
u17,0.741935484,31
u18,0.636363636,22
u19,0.948717949,39
u20,0.857142857,7
u22,0.827586207,29
u23,0.125,32
u24,1,25
u25,1,14
u27,0.75,16
u30,1,17
u31,0.333333333,9
u32,1,28
u33,1,32
u34,1,5
u35,0.909090909,22
u36,1,32
u39,0,11
u41,1,7
u42,0.866666667,15
u43,1,44
u44,0.931034483,58
u45,1,15
u46,1,17
u47,1,17
u49,1,33
u50,0.428571429,7
u51,0.545454545,33
u52,1,13
u53,1,31
u54,0.909090909,11
u56,0.916666667,12
u57,1,36
u58,0.697674419,43
u59,1,79
