,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,128,217,255,209,225,281,275,176,167,178
u01,155,255,260,328,357,94,257,306,64,103
u02,80,167,159,214,136,189,106,108,106,218
u03,27,57,63,92,85,80,42,19,13,0
u04,187,329,309,345,303,353,376,399,136,0
u05,123,206,153,156,213,228,163,143,135,120
u07,156,341,289,227,37,140,128,55,0,0
u08,120,232,271,268,339,297,317,292,299,125
u09,132,212,275,282,201,255,253,253,235,171
u10,152,266,245,230,257,213,233,200,311,153
u12,173,207,128,155,157,138,198,261,216,163
u13,38,216,237,272,285,155,119,260,228,105
u14,154,205,219,186,223,249,207,150,150,136
u15,175,180,173,127,89,68,78,90,11,61
u16,174,239,231,267,261,155,152,140,75,29
u17,93,134,115,181,176,161,116,149,142,129
u18,135,130,76,120,218,38,46,139,139,10
u19,126,234,253,158,193,34,140,110,224,214
u20,100,215,237,53,167,83,72,84,41,0
u22,126,176,0,117,35,31,150,183,160,131
u23,96,186,158,168,182,181,162,123,59,0
u24,172,236,238,183,219,0,0,0,0,0
u25,126,229,161,180,164,135,11,30,40,45
u27,164,234,201,108,244,224,276,251,277,233
u30,169,229,227,244,241,208,209,118,228,234
u31,261,310,375,368,248,256,266,259,210,2
u32,172,238,313,245,238,33,227,81,292,116
u33,42,110,129,106,159,123,182,51,0,0
u34,91,244,163,127,180,67,141,116,10,0
u35,73,187,195,117,183,146,164,119,104,139
u36,127,213,214,173,301,160,220,163,148,195
u39,37,65,96,122,115,0,0,0,0,0
u41,112,137,120,138,191,80,69,104,146,116
u42,14,214,214,104,131,201,95,157,17,0
u43,0,256,205,275,195,163,158,167,169,143
u44,0,172,181,146,180,185,80,161,146,150
u45,0,149,206,87,152,163,164,96,153,89
u46,9,314,273,200,195,297,267,267,85,0
u47,41,84,81,118,99,77,39,38,193,132
u49,86,138,130,166,134,3,39,270,346,350
u50,101,161,191,192,91,17,62,83,0,29
u51,154,227,221,206,168,155,217,170,220,198
u52,95,101,126,48,106,75,38,69,88,32
u53,111,225,191,197,220,190,277,194,122,110
u54,150,133,140,228,206,233,108,0,0,71
u56,90,134,195,174,196,153,0,143,162,177
u57,111,179,246,213,233,227,246,235,285,274
u58,132,170,210,150,23,33,190,223,182,104
u59,154,304,321,450,472,484,396,547,453,504
