,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,2343,3042,2865,3062,2909,2866,3188,2535,1396,2570
u01,2045,3759,4086,3633,3684,1043,3265,3758,1220,1290
u02,1413,2113,2719,3233,2044,2338,1381,1689,1470,2597
u03,465,769,534,575,706,427,348,221,90,0
u04,2044,3139,3254,3148,2944,2715,3581,3292,993,0
u05,2017,2708,1931,1830,2012,2070,1655,1249,1340,1311
u07,1736,4223,2466,2359,223,1203,752,532,0,0
u08,1326,3092,2456,2572,2612,3116,2920,2388,3173,1459
u09,1591,3149,3837,3557,2192,3362,2800,3032,3477,1593
u10,1361,2238,1708,2035,2018,1632,1880,1645,2850,1886
u12,1918,2770,2011,1847,1621,1948,2232,2799,2776,1665
u13,443,1484,1614,1507,2022,1116,879,1930,1653,744
u14,2475,3867,3185,3073,3488,3907,2620,1889,1283,1479
u15,2329,2164,2039,1475,1208,1270,916,886,64,492
u16,2039,2631,1939,2405,2119,1738,1796,1059,1010,417
u17,1052,1970,1283,1928,1828,1388,1233,1117,1629,1164
u18,1490,2249,1023,1474,2422,327,740,1417,1642,164
u19,1468,2629,3105,1735,1486,310,1061,1038,2535,2085
u20,843,1541,2053,254,1143,530,565,824,172,0
u22,1558,2124,0,1512,456,145,982,1409,944,1677
u23,828,1623,1397,1240,1815,1220,1290,600,350,0
u24,2091,3116,3141,2582,1920,0,0,0,0,0
u25,2053,2969,2712,2720,2532,1798,240,478,386,266
u27,1640,2186,1834,830,1638,1731,2011,1701,1796,1588
u30,2441,3727,4023,3607,4072,3256,2912,1336,3998,2866
u31,1798,2503,2956,3285,2315,1773,1806,1809,1468,45
u32,2692,3453,4037,2577,3647,390,2902,1387,4037,2119
u33,713,1925,2085,2144,2845,2171,2988,908,0,0
u34,1358,3261,1826,1293,1182,660,1022,982,53,0
u35,803,2216,1841,927,1363,1158,1422,959,859,1222
u36,1190,1218,1336,1706,1992,1614,1281,872,833,1337
u39,137,303,455,427,533,0,0,0,0,0
u41,1095,1579,1490,1923,2029,858,424,775,1576,1693
u42,59,2733,2357,1169,1125,1689,864,1328,144,0
u43,0,2472,2161,3638,1819,1462,1566,1659,1556,1088
u44,0,1172,1523,1140,1293,1552,741,1029,1191,1017
u45,0,2446,2759,852,1128,1424,1452,954,1546,715
u46,99,3987,3183,2570,2764,3552,3610,2896,1279,0
u47,426,378,448,707,507,492,167,361,1525,1029
u49,912,891,925,1182,930,14,162,2852,3998,2707
u50,815,1184,1209,1081,548,100,492,585,0,362
u51,1446,1717,1307,1134,1124,1478,1258,1469,2042,1612
u52,923,957,1133,481,704,430,158,544,555,75
u53,2181,2782,1907,1729,1933,1652,1994,1160,1170,741
u54,2483,1680,1253,1972,1875,2050,1020,0,0,923
u56,654,1430,1785,1695,1437,1153,0,1327,977,1711
u57,2082,1651,2943,2737,2716,2183,2177,2824,2586,2554
u58,2446,2576,2715,1966,312,303,2502,3121,2713,1361
u59,1895,3266,2160,2653,3230,3618,2121,3101,2487,2272
