,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,15,24,22,25,24,20,26,12,5,11
u01,21,22,27,22,28,26,11,30,12,6
u02,14,20,25,18,20,20,19,20,16,15
u03,11,7,9,12,6,9,5,3,1,0
u04,21,33,32,32,30,30,38,38,14,0
u05,15,28,23,16,21,23,12,16,6,10
u07,14,27,22,28,17,18,19,7,0,0
u08,19,23,31,16,16,24,27,27,25,4
u09,11,18,17,18,23,19,23,23,27,12
u10,24,35,22,19,21,26,20,20,17,13
u12,23,27,30,34,26,27,28,30,28,16
u13,6,17,13,6,17,8,10,17,13,7
u14,22,24,18,21,16,16,17,9,3,1
u15,12,8,7,6,3,3,3,6,0,1
u16,20,17,25,20,12,16,18,11,18,6
u17,23,32,26,21,32,26,18,19,24,10
u18,17,20,24,25,15,4,3,7,7,3
u19,7,20,21,20,20,17,23,24,21,6
u20,9,17,20,4,19,8,3,11,0,0
u22,19,28,28,36,17,1,27,15,14,9
u23,17,21,28,23,25,21,22,22,12,0
u24,14,20,20,20,10,0,0,0,0,0
u25,18,22,21,16,11,5,0,1,1,2
u27,13,24,22,20,20,26,25,26,24,8
u30,15,33,27,23,18,23,23,10,10,9
u31,10,16,13,21,36,28,25,22,23,6
u32,16,27,15,13,22,16,21,9,22,13
u33,13,20,24,21,25,28,34,14,1,0
u34,5,16,8,4,3,5,3,5,0,2
u35,9,7,6,4,2,5,8,3,0,3
u36,10,25,24,30,32,27,27,24,29,16
u39,1,3,2,1,1,0,0,0,0,0
u41,9,11,13,7,6,5,4,6,4,8
u42,0,17,15,13,13,10,8,13,7,0
u43,0,18,25,24,23,16,7,5,15,6
u44,0,16,10,11,15,14,4,3,8,3
u45,0,12,8,10,4,8,10,1,9,7
u46,1,24,27,27,19,16,23,19,8,0
u47,2,5,11,3,2,4,0,1,12,6
u49,0,0,0,0,0,0,3,26,21,17
u50,9,7,14,12,7,2,3,6,0,2
u51,15,34,22,22,21,21,15,15,21,22
u52,13,37,30,17,21,20,17,23,22,9
u53,14,15,13,23,20,20,10,2,3,4
u54,23,11,26,25,34,20,8,0,0,4
u56,11,20,18,12,16,4,0,10,10,6
u57,20,25,34,26,26,21,19,24,21,17
u58,12,26,18,25,25,17,24,25,11,3
u59,15,35,18,14,15,14,10,16,15,13
