,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,2130,4012,4335,4436,3923,2161,3924,1958,682,1863
u01,4074,4122,6506,3297,5992,5172,2258,6175,3224,649
u02,3304,4577,3969,3324,4103,3946,3552,3236,2884,2613
u03,2246,1942,1729,2294,1650,1833,1433,1498,98,0
u04,3961,7130,6718,5280,7219,5993,6806,6766,3003,0
u05,3586,5807,5288,3023,4546,6290,2578,2603,1386,1848
u07,2560,5694,5628,5920,4112,3711,5472,1494,0,0
u08,3501,4239,5018,3231,2892,3764,4996,4074,4319,651
u09,2020,2032,3538,2627,4484,3596,4824,3692,5991,2523
u10,4326,6125,4614,4359,5148,3570,2034,3817,3289,2829
u12,4487,4275,4911,6464,4701,5180,4371,5586,5542,2608
u13,2272,4244,3789,1725,4190,1292,2097,4345,2510,1267
u14,5152,6001,4654,5160,3411,3053,3736,1392,891,90
u15,2881,2697,2079,522,438,1193,908,724,0,266
u16,3103,2274,3576,3890,1919,2594,3728,2023,4857,739
u17,4003,5867,6083,4900,5559,4927,4653,4356,4348,1827
u18,3736,2764,5227,4710,2939,712,204,2050,1405,875
u19,1599,5032,4957,4250,4141,4393,5092,4977,5030,1559
u20,1828,3383,3628,912,4336,1724,328,2766,0,0
u22,4710,4714,5477,7157,3580,398,5808,2347,2472,1732
u23,3710,5916,6270,5007,6078,4204,5311,4650,2201,0
u24,2336,3919,3164,2435,2020,0,0,0,0,0
u25,2434,3388,3068,2386,2483,520,0,76,313,619
u27,1670,4067,3706,3421,2485,3751,4263,4198,3964,1218
u30,2638,7138,5523,3762,2974,4041,5421,2965,2448,2540
u31,1334,3232,3121,3488,4659,4610,4037,3455,4006,1258
u32,3672,4767,3608,2804,3751,4124,5072,2019,4353,2706
u33,3529,5044,4547,3578,5256,5916,6319,3655,89,0
u34,1121,3081,1612,847,460,632,435,1171,0,171
u35,2338,1139,1964,830,317,618,1131,851,0,666
u36,2379,5080,4536,5623,4787,4602,4866,4656,5286,2834
u39,257,818,247,562,442,0,0,0,0,0
u41,1328,1654,3465,1310,1130,1109,512,1626,594,1285
u42,0,3172,3630,4213,2465,2035,2267,3305,2159,0
u43,0,4015,4529,3857,4235,3935,1680,1714,3352,1173
u44,0,3829,2023,1249,2940,2869,1002,475,1944,604
u45,0,2651,1518,2553,526,2022,2804,138,2383,2125
u46,66,4991,4344,4510,3068,2846,3311,3054,1299,0
u47,685,1055,1637,546,284,779,0,172,2523,2299
u49,0,0,0,0,0,0,824,4484,3129,2962
u50,1500,1677,3248,3077,2051,658,378,1265,0,158
u51,2242,5832,3916,4256,2967,4657,3430,2939,3049,4496
u52,2043,5659,4642,3779,4035,3095,3051,2986,4821,2380
u53,2764,3804,3023,5386,4242,3636,2081,969,968,1023
u54,3344,2479,4799,4573,4591,3052,1344,0,0,711
u56,1784,2619,4052,3044,4341,1080,0,2661,1956,1488
u57,3410,4029,5976,4572,4901,4125,3982,4161,4451,3218
u58,1882,4512,3088,3945,4181,2929,5761,5008,3269,423
u59,2326,5718,3504,2715,3023,2650,1864,2438,2655,2449
