uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,156,170,178,172,157,156,164,134,100,138
u01,168,168,168,166,164,135,111,168,156,62
u02,346,357,290,302,253,246,405,558,556,580
u03,168,160,168,142,163,168,163,82,34,0
u04,169,168,162,168,168,168,168,168,84,0
u05,168,168,168,159,167,168,145,138,102,51
u07,168,166,166,167,168,168,144,49,0,0
u08,250,438,371,744,479,422,406,382,502,130
u09,159,134,165,154,164,168,168,151,151,116
u10,163,168,168,168,168,168,168,168,158,144
u12,205,401,279,238,319,272,360,293,262,231
u13,68,197,154,165,195,138,72,167,149,67
u14,162,168,155,168,163,168,126,105,94,68
u15,157,128,131,98,57,50,54,73,4,33
u16,162,161,144,168,148,165,162,146,168,60
u17,162,168,168,160,166,168,133,168,161,138
u18,168,144,168,168,156,168,67,123,145,8
u19,132,166,166,168,168,168,169,168,168,130
u20,130,168,168,56,168,95,114,139,48,0
u22,169,163,168,167,111,35,156,142,116,127
u23,146,150,168,168,168,168,168,168,83,0
u24,142,166,267,299,225,0,0,0,0,0
u25,123,136,104,137,107,86,7,26,15,19
u27,128,168,136,168,157,161,168,165,166,158
u30,142,165,168,168,158,161,168,92,159,131
u31,153,258,337,259,225,186,196,195,917,0
u32,163,168,168,168,160,134,164,96,0,0
u33,138,168,168,168,168,168,168,134,11,0
u34,121,154,115,106,99,38,99,72,5,0
u35,147,168,168,168,168,168,168,165,165,108
u36,146,171,173,162,168,156,167,164,168,164
u39,63,105,87,168,92,0,0,0,0,0
u41,143,133,143,107,165,70,69,96,77,78
u42,44,158,168,132,136,145,145,111,40,0
u43,40,153,157,159,152,159,119,98,123,67
u44,40,150,168,166,168,168,161,171,169,90
u45,40,115,145,80,77,90,144,74,108,53
u46,239,443,402,439,288,324,308,352,162,0
u47,99,91,99,163,100,97,12,53,167,70
u49,926,251,250,299,281,0,17,170,224,419
u50,98,169,168,196,98,24,71,63,0,26
u51,161,168,168,168,168,168,168,168,168,168
u52,132,149,156,169,142,168,139,163,166,140
u53,168,166,157,146,168,151,153,133,95,117
u54,1779,594,391,421,361,361,140,0,0,886
u56,3428,244,168,168,168,162,38,147,161,149
u57,1830,245,259,295,291,291,320,577,535,469
u58,128,224,167,168,168,166,168,168,168,62
u59,299,689,646,983,319,404,312,320,256,366
