uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,29643|3104|1230|952,49721|2984|1460|1722,51605|2655|931|1368,48116|3103|920|2786,46214|2977|1517|1559,37077|5259|797|2016,46850|4157|863|2713,37594|2483|263|2958,27723|1663|122|1475,28918|2274|887|1332
u01,35899|1714|734|591,51611|3027|1168|678,52951|2323|961|453,50578|2888|1393|394,50482|2901|1134|620,42863|1456|984|451,33059|1979|982|529,52287|2311|1161|786,48939|1940|994|633,19914|415|267|412
u02,34995|2215|85|1467,52384|3376|71|1239,53414|2786|6|754,53387|2814|72|851,51316|3110|55|1266,49901|2644|87|834,50523|4159|88|1549,49606|3535|51|1685,52461|2717|135|1238,37710|2154|28|750
u03,39487|352|76|100,54185|730|84|193,57405|543|3|79,47877|743|41|207,53886|1094|69|493,57032|544|74|294,56062|258|9|59,27522|218|49|41,11397|141|18|37,0|0|0|0
u04,33716|3261|1532|425,47312|4906|1790|2661,45905|5129|2645|539,47870|3928|1677|3092,49975|4376|1678|866,47233|3110|2304|4299,50355|3839|1849|439,50225|2639|2162|1940,26188|1926|96|629,0|0|0|0
u05,35572|1635|251|2083,52277|2087|364|2658,51993|2529|281|2376,50960|2034|190|835,53670|1841|71|1589,54897|1494|93|1203,47661|1565|84|420,44686|966|28|1190,33028|1407|22|298,16416|586|16|291
u07,35427|2112|721|700,47733|3747|1525|2428,52442|1891|679|1742,51068|2543|665|2061,55419|862|600|445,54090|1829|659|640,47218|1130|160|476,16154|436|217|197,0|0|0|0,0|0|0|0
u08,36922|1630|666|197,50938|2549|1387|953,53248|2431|696|366,51989|2456|1201|799,52470|2616|849|516,51321|3250|628|810,51270|3603|909|880,52444|2834|752|561,49152|2304|418|761,20635|559|288|465
u09,32546|1846|232|1358,38946|3488|430|1210,51170|3364|377|779,46740|2798|523|1770,51417|2754|294|946,53020|2333|523|995,52436|2812|679|966,47293|2533|398|896,45518|2464|369|2437,28824|1347|85|522
u10,38091|1338|15|299,55273|1987|23|336,54837|1950|139|390,54236|1805|569|412,54735|1543|577|418,53997|1803|689|736,54430|1537|776|642,54510|1317|691|882,50724|1495|714|898,34389|1122|360|474
u12,36602|1072|242|1089,49263|1670|874|2574,50283|1386|478|2322,54732|947|419|868,53434|1137|568|967,54715|1032|500|852,52887|1856|461|1607,51348|2289|996|1922,52909|1704|690|1280,34334|1536|641|891
u13,21967|127|46|187,54897|1132|377|1147,49484|1255|181|1029,50543|1112|340|1723,55923|1959|713|1463,43338|387|138|2387,20626|1224|501|928,50901|1690|629|1703,43092|1723|538|1349,20851|430|149|521
u14,32704|5743|204|698,49312|6338|518|814,46455|5018|345|534,50908|4900|681|763,47679|4891|350|1940,51543|4426|458|707,38993|3059|413|309,32856|2278|295|218,30891|669|9|151,22663|260|44|78
u15,32877|1167|25|1203,38252|1214|244|3765,41678|1139|10|1599,29524|1346|54|1325,18078|750|80|117,15405|902|70|279,17095|588|42|156,23845|754|118|116,968|89|12|6,10688|258|26|32
u16,36614|1821|145|909,51433|2301|312|514,45557|2220|336|936,53767|2690|474|573,48159|1335|204|446,52239|2442|250|509,50754|3303|383|559,47260|1296|138|475,56044|1796|274|2017,19514|449|152|149
u17,38285|1114|115|367,54395|2601|258|523,56288|1403|68|268,51505|2009|209|797,54168|1850|266|1199,55576|1253|197|637,42431|1411|400|735,56010|1081|189|627,52017|1517|182|1241,39478|741|13|2824
u18,37814|1222|249|289,46293|1507|163|1160,54183|2044|331|1007,54079|2249|344|626,48821|1751|201|2406,55897|1066|17|399,19171|383|5|154,41047|824|6|194,51898|495|29|224,14932|163|7|126
