uid,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10
u00,2130|15,4012|24,4335|22,4436|25,3923|24,2161|20,3924|26,1958|12,682|5,1863|11
u01,4074|21,4122|22,6506|27,3297|22,5992|28,5172|26,2258|11,6175|30,3224|12,649|6
u02,3304|14,4577|20,3969|25,3324|18,4103|20,3946|20,3552|19,3236|20,2884|16,2613|15
u03,2246|11,1942|7,1729|9,2294|12,1650|6,1833|9,1433|5,1498|3,98|1,0|0
u04,3961|21,7130|33,6718|32,5280|32,7219|30,5993|30,6806|38,6766|38,3003|14,0|0
u05,3586|15,5807|28,5288|23,3023|16,4546|21,6290|23,2578|12,2603|16,1386|6,1848|10
u07,2560|14,5694|27,5628|22,5920|28,4112|17,3711|18,5472|19,1494|7,0|0,0|0
u08,3501|19,4239|23,5018|31,3231|16,2892|16,3764|24,4996|27,4074|27,4319|25,651|4
u09,2020|11,2032|18,3538|17,2627|18,4484|23,3596|19,4824|23,3692|23,5991|27,2523|12
u10,4326|24,6125|35,4614|22,4359|19,5148|21,3570|26,2034|20,3817|20,3289|17,2829|13
u12,4487|23,4275|27,4911|30,6464|34,4701|26,5180|27,4371|28,5586|30,5542|28,2608|16
u13,2272|6,4244|17,3789|13,1725|6,4190|17,1292|8,2097|10,4345|17,2510|13,1267|7
u14,5152|22,6001|24,4654|18,5160|21,3411|16,3053|16,3736|17,1392|9,891|3,90|1
u15,2881|12,2697|8,2079|7,522|6,438|3,1193|3,908|3,724|6,0|0,266|1
u16,3103|20,2274|17,3576|25,3890|20,1919|12,2594|16,3728|18,2023|11,4857|18,739|6
u17,4003|23,5867|32,6083|26,4900|21,5559|32,4927|26,4653|18,4356|19,4348|24,1827|10
u18,3736|17,2764|20,5227|24,4710|25,2939|15,712|4,204|3,2050|7,1405|7,875|3
u19,1599|7,5032|20,4957|21,4250|20,4141|20,4393|17,5092|23,4977|24,5030|21,1559|6
u20,1828|9,3383|17,3628|20,912|4,4336|19,1724|8,328|3,2766|11,0|0,0|0
u22,4710|19,4714|28,5477|28,7157|36,3580|17,398|1,5808|27,2347|15,2472|14,1732|9
u23,3710|17,5916|21,6270|28,5007|23,6078|25,4204|21,5311|22,4650|22,2201|12,0|0
u24,2336|14,3919|20,3164|20,2435|20,2020|10,0|0,0|0,0|0,0|0,0|0
u25,2434|18,3388|22,3068|21,2386|16,2483|11,520|5,0|0,76|1,313|1,619|2
u27,1670|13,4067|24,3706|22,3421|20,2485|20,3751|26,4263|25,4198|26,3964|24,1218|8
u30,2638|15,7138|33,5523|27,3762|23,2974|18,4041|23,5421|23,2965|10,2448|10,2540|9
u31,1334|10,3232|16,3121|13,3488|21,4659|36,4610|28,4037|25,3455|22,4006|23,1258|6
u32,3672|16,4767|27,3608|15,2804|13,3751|22,4124|16,5072|21,2019|9,4353|22,2706|13
u33,3529|13,5044|20,4547|24,3578|21,5256|25,5916|28,6319|34,3655|14,89|1,0|0
u34,1121|5,3081|16,1612|8,847|4,460|3,632|5,435|3,1171|5,0|0,171|2
u35,2338|9,1139|7,1964|6,830|4,317|2,618|5,1131|8,851|3,0|0,666|3
u36,2379|10,5080|25,4536|24,5623|30,4787|32,4602|27,4866|27,4656|24,5286|29,2834|16
u39,257|1,818|3,247|2,562|1,442|1,0|0,0|0,0|0,0|0,0|0
u41,1328|9,1654|11,3465|13,1310|7,1130|6,1109|5,512|4,1626|6,594|4,1285|8
u42,0|0,3172|17,3630|15,4213|13,2465|13,2035|10,2267|8,3305|13,2159|7,0|0
u43,0|0,4015|18,4529|25,3857|24,4235|23,3935|16,1680|7,1714|5,3352|15,1173|6
u44,0|0,3829|16,2023|10,1249|11,2940|15,2869|14,1002|4,475|3,1944|8,604|3
u45,0|0,2651|12,1518|8,2553|10,526|4,2022|8,2804|10,138|1,2383|9,2125|7
u46,66|1,4991|24,4344|27,4510|27,3068|19,2846|16,3311|23,3054|19,1299|8,0|0
u47,685|2,1055|5,1637|11,546|3,284|2,779|4,0|0,172|1,2523|12,2299|6
u49,0|0,0|0,0|0,0|0,0|0,0|0,824|3,4484|26,3129|21,2962|17
u50,1500|9,1677|7,3248|14,3077|12,2051|7,658|2,378|3,1265|6,0|0,158|2
u51,2242|15,5832|34,3916|22,4256|22,2967|21,4657|21,3430|15,2939|15,3049|21,4496|22
u52,2043|13,5659|37,4642|30,3779|17,4035|21,3095|20,3051|17,2986|23,4821|22,2380|9
u53,2764|14,3804|15,3023|13,5386|23,4242|20,3636|20,2081|10,969|2,968|3,1023|4
u54,3344|23,2479|11,4799|26,4573|25,4591|34,3052|20,1344|8,0|0,0|0,711|4
u56,1784|11,2619|20,4052|18,3044|12,4341|16,1080|4,0|0,2661|10,1956|10,1488|6
u57,3410|20,4029|25,5976|34,4572|26,4901|26,4125|21,3982|19,4161|24,4451|21,3218|17
u58,1882|12,4512|26,3088|18,3945|25,4181|25,2929|17,5761|24,5008|25,3269|11,423|3
u59,2326|15,5718|35,3504|18,2715|14,3023|15,2650|14,1864|10,2438|16,2655|15,2449|13
